Report_round,Eerste ziektedag,Meldingsdatum,Toename
4,02/07/2022,28/07/2022,-1
4,03/07/2022,28/07/2022,0
4,04/07/2022,28/07/2022,0
4,05/07/2022,28/07/2022,-1
4,06/07/2022,28/07/2022,4
4,07/07/2022,28/07/2022,3
4,08/07/2022,28/07/2022,2
4,09/07/2022,28/07/2022,2
4,10/07/2022,28/07/2022,3
4,11/07/2022,28/07/2022,-4
4,12/07/2022,28/07/2022,-2
4,13/07/2022,28/07/2022,1
4,14/07/2022,28/07/2022,-1
4,15/07/2022,28/07/2022,2
4,16/07/2022,28/07/2022,1
4,17/07/2022,28/07/2022,3
4,18/07/2022,28/07/2022,13
4,19/07/2022,28/07/2022,12
4,20/07/2022,28/07/2022,5
4,21/07/2022,28/07/2022,0
4,22/07/2022,28/07/2022,4
4,23/07/2022,28/07/2022,1
4,24/07/2022,28/07/2022,3
4,25/07/2022,28/07/2022,1
4,26/07/2022,28/07/2022,0
4,27/07/2022,28/07/2022,0
4,28/07/2022,28/07/2022,0
4,29/07/2022,28/07/2022,0
4,30/07/2022,28/07/2022,0
4,31/07/2022,28/07/2022,0
4,01/08/2022,28/07/2022,0
5,27/04/2022,01/08/2022,0
5,28/04/2022,01/08/2022,0
5,29/04/2022,01/08/2022,0
5,30/04/2022,01/08/2022,0
5,01/05/2022,01/08/2022,0
5,02/05/2022,01/08/2022,0
5,03/05/2022,01/08/2022,0
5,04/05/2022,01/08/2022,0
5,05/05/2022,01/08/2022,0
5,06/05/2022,01/08/2022,0
5,07/05/2022,01/08/2022,0
5,08/05/2022,01/08/2022,0
5,09/05/2022,01/08/2022,0
5,10/05/2022,01/08/2022,0
5,11/05/2022,01/08/2022,0
5,12/05/2022,01/08/2022,0
5,13/05/2022,01/08/2022,0
5,14/05/2022,01/08/2022,0
5,15/05/2022,01/08/2022,0
5,16/05/2022,01/08/2022,0
5,17/05/2022,01/08/2022,0
5,18/05/2022,01/08/2022,0
5,19/05/2022,01/08/2022,0
5,20/05/2022,01/08/2022,0
5,21/05/2022,01/08/2022,0
5,22/05/2022,01/08/2022,0
5,23/05/2022,01/08/2022,0
5,24/05/2022,01/08/2022,0
5,25/05/2022,01/08/2022,0
5,26/05/2022,01/08/2022,0
5,27/05/2022,01/08/2022,0
5,28/05/2022,01/08/2022,0
5,29/05/2022,01/08/2022,0
5,30/05/2022,01/08/2022,0
5,31/05/2022,01/08/2022,0
5,01/06/2022,01/08/2022,0
5,02/06/2022,01/08/2022,0
5,03/06/2022,01/08/2022,0
5,04/06/2022,01/08/2022,0
5,05/06/2022,01/08/2022,0
5,06/06/2022,01/08/2022,0
5,07/06/2022,01/08/2022,0
5,08/06/2022,01/08/2022,0
5,09/06/2022,01/08/2022,0
5,10/06/2022,01/08/2022,0
5,11/06/2022,01/08/2022,0
5,12/06/2022,01/08/2022,0
5,13/06/2022,01/08/2022,0
5,14/06/2022,01/08/2022,0
5,15/06/2022,01/08/2022,0
5,16/06/2022,01/08/2022,-1
5,17/06/2022,01/08/2022,0
5,18/06/2022,01/08/2022,0
5,19/06/2022,01/08/2022,0
5,20/06/2022,01/08/2022,0
5,21/06/2022,01/08/2022,0
5,22/06/2022,01/08/2022,1
5,23/06/2022,01/08/2022,0
5,24/06/2022,01/08/2022,0
5,25/06/2022,01/08/2022,0
5,26/06/2022,01/08/2022,0
5,27/06/2022,01/08/2022,0
5,28/06/2022,01/08/2022,0
5,29/06/2022,01/08/2022,0
5,30/06/2022,01/08/2022,0
5,01/07/2022,01/08/2022,1
5,02/07/2022,01/08/2022,1
5,03/07/2022,01/08/2022,1
5,04/07/2022,01/08/2022,1
5,05/07/2022,01/08/2022,0
5,06/07/2022,01/08/2022,1
5,07/07/2022,01/08/2022,0
5,08/07/2022,01/08/2022,2
5,09/07/2022,01/08/2022,0
5,10/07/2022,01/08/2022,-1
5,11/07/2022,01/08/2022,-3
5,12/07/2022,01/08/2022,3
5,13/07/2022,01/08/2022,0
5,14/07/2022,01/08/2022,-7
5,15/07/2022,01/08/2022,4
5,16/07/2022,01/08/2022,5
5,17/07/2022,01/08/2022,2
5,18/07/2022,01/08/2022,-1
5,19/07/2022,01/08/2022,-3
5,20/07/2022,01/08/2022,6
5,21/07/2022,01/08/2022,6
5,22/07/2022,01/08/2022,6
5,23/07/2022,01/08/2022,4
5,24/07/2022,01/08/2022,3
5,25/07/2022,01/08/2022,9
5,26/07/2022,01/08/2022,4
5,27/07/2022,01/08/2022,2
5,28/07/2022,01/08/2022,1
5,29/07/2022,01/08/2022,1
5,30/07/2022,01/08/2022,0
5,31/07/2022,01/08/2022,0
5,01/08/2022,01/08/2022,0
6,27/04/2022,04/08/2022,0
6,28/04/2022,04/08/2022,0
6,29/04/2022,04/08/2022,0
6,30/04/2022,04/08/2022,0
6,01/05/2022,04/08/2022,0
6,02/05/2022,04/08/2022,0
6,03/05/2022,04/08/2022,0
6,04/05/2022,04/08/2022,0
6,05/05/2022,04/08/2022,0
6,06/05/2022,04/08/2022,0
6,07/05/2022,04/08/2022,0
6,08/05/2022,04/08/2022,0
6,09/05/2022,04/08/2022,0
6,10/05/2022,04/08/2022,0
6,11/05/2022,04/08/2022,0
6,12/05/2022,04/08/2022,0
6,13/05/2022,04/08/2022,0
6,14/05/2022,04/08/2022,0
6,15/05/2022,04/08/2022,0
6,16/05/2022,04/08/2022,0
6,17/05/2022,04/08/2022,0
6,18/05/2022,04/08/2022,0
6,19/05/2022,04/08/2022,0
6,20/05/2022,04/08/2022,0
6,21/05/2022,04/08/2022,0
6,22/05/2022,04/08/2022,0
6,23/05/2022,04/08/2022,0
6,24/05/2022,04/08/2022,0
6,25/05/2022,04/08/2022,0
6,26/05/2022,04/08/2022,-1
6,27/05/2022,04/08/2022,0
6,28/05/2022,04/08/2022,0
6,29/05/2022,04/08/2022,0
6,30/05/2022,04/08/2022,0
6,31/05/2022,04/08/2022,0
6,01/06/2022,04/08/2022,0
6,02/06/2022,04/08/2022,0
6,03/06/2022,04/08/2022,0
6,04/06/2022,04/08/2022,0
6,05/06/2022,04/08/2022,0
6,06/06/2022,04/08/2022,0
6,07/06/2022,04/08/2022,0
6,08/06/2022,04/08/2022,0
6,09/06/2022,04/08/2022,0
6,10/06/2022,04/08/2022,0
6,11/06/2022,04/08/2022,0
6,12/06/2022,04/08/2022,0
6,13/06/2022,04/08/2022,0
6,14/06/2022,04/08/2022,0
6,15/06/2022,04/08/2022,0
6,16/06/2022,04/08/2022,0
6,17/06/2022,04/08/2022,0
6,18/06/2022,04/08/2022,0
6,19/06/2022,04/08/2022,0
6,20/06/2022,04/08/2022,0
6,21/06/2022,04/08/2022,0
6,22/06/2022,04/08/2022,0
6,23/06/2022,04/08/2022,0
6,24/06/2022,04/08/2022,0
6,25/06/2022,04/08/2022,0
6,26/06/2022,04/08/2022,0
6,27/06/2022,04/08/2022,0
6,28/06/2022,04/08/2022,0
6,29/06/2022,04/08/2022,0
6,30/06/2022,04/08/2022,0
6,01/07/2022,04/08/2022,0
6,02/07/2022,04/08/2022,0
6,03/07/2022,04/08/2022,0
6,04/07/2022,04/08/2022,0
6,05/07/2022,04/08/2022,0
6,06/07/2022,04/08/2022,1
6,07/07/2022,04/08/2022,1
6,08/07/2022,04/08/2022,0
6,09/07/2022,04/08/2022,0
6,10/07/2022,04/08/2022,0
6,11/07/2022,04/08/2022,1
6,12/07/2022,04/08/2022,0
6,13/07/2022,04/08/2022,1
6,14/07/2022,04/08/2022,0
6,15/07/2022,04/08/2022,-1
6,16/07/2022,04/08/2022,1
6,17/07/2022,04/08/2022,1
6,18/07/2022,04/08/2022,0
6,19/07/2022,04/08/2022,1
6,20/07/2022,04/08/2022,0
6,21/07/2022,04/08/2022,1
6,22/07/2022,04/08/2022,-1
6,23/07/2022,04/08/2022,4
6,24/07/2022,04/08/2022,1
6,25/07/2022,04/08/2022,6
6,26/07/2022,04/08/2022,4
6,27/07/2022,04/08/2022,0
6,28/07/2022,04/08/2022,5
6,29/07/2022,04/08/2022,1
6,30/07/2022,04/08/2022,2
6,31/07/2022,04/08/2022,1
6,01/08/2022,04/08/2022,1
