Version,Date_of_report,Date_of_statistics,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0168,Losser,<=2009,85,72,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0168,Losser,<2004,87,75,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0168,Losser,2004-2009,60,40,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0171,Noordoostpolder,<=2009,75,64,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0171,Noordoostpolder,<2004,78,68,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0171,Noordoostpolder,2004-2009,45,30,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0173,Oldenzaal,<=2009,84,72,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0173,Oldenzaal,<2004,87,75,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0173,Oldenzaal,2004-2009,61,42,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0175,Ommen,<=2009,83,73,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0175,Ommen,<2004,86,75,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0175,Ommen,2004-2009,57,44,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0177,Raalte,<=2009,90,78,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0177,Raalte,<2004,92,80,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0177,Raalte,2004-2009,73,53,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0180,Staphorst,<=2009,52,44,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0180,Staphorst,<2004,56,48,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0180,Staphorst,2004-2009,20,14,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0183,Tubbergen,<=2009,87,72,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0183,Tubbergen,<2004,90,74,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0183,Tubbergen,2004-2009,64,44,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0184,Urk,<=2009,27,20,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0184,Urk,<2004,31,23,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0184,Urk,2004-2009,6,<=5,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0189,Wierden,<=2009,85,72,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0189,Wierden,<2004,87,75,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0189,Wierden,2004-2009,59,40,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0193,Zwolle,<=2009,81,71,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0193,Zwolle,<2004,83,73,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0193,Zwolle,2004-2009,59,43,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0197,Aalten,<=2009,86,76,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0197,Aalten,<2004,87,78,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0197,Aalten,2004-2009,68,55,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0200,Apeldoorn,<=2009,79,70,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0200,Apeldoorn,<2004,81,72,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0200,Apeldoorn,2004-2009,54,42,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0202,Arnhem,<=2009,76,66,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0202,Arnhem,<2004,78,68,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0202,Arnhem,2004-2009,51,39,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0203,Barneveld,<=2009,64,54,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0203,Barneveld,<2004,68,58,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0203,Barneveld,2004-2009,32,23,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0209,Beuningen,<=2009,87,76,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0209,Beuningen,<2004,89,78,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0209,Beuningen,2004-2009,69,52,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0213,Brummen,<=2009,84,75,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0213,Brummen,<2004,86,77,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0213,Brummen,2004-2009,61,48,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0214,Buren,<=2009,81,71,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0214,Buren,<2004,83,73,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0214,Buren,2004-2009,57,45,12-17
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0216,Culemborg,<=2009,81,71,12+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0216,Culemborg,<2004,84,73,18+
1,2021-09-08T10:30:00Z,2021-08-30,Gemeente,GM0216,Culemborg,2004-2009,56,44,12-17
