Version,Date_of_report,Date_of_statistics,Populatie,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
2,2022-02-02T10:30:00Z,2022-01-24,31872,Gemeente,GM0163,Hellendoorn,<=2009,90,89,12+
2,2022-02-02T10:30:00Z,2022-01-24,29196,Gemeente,GM0163,Hellendoorn,<2004,91,90,18+
2,2022-02-02T10:30:00Z,2022-01-24,2676,Gemeente,GM0163,Hellendoorn,2004-2009,83,82,12-17
2,2022-02-02T10:30:00Z,2022-01-24,72847,Gemeente,GM0164,Hengelo,<=2009,84,83,12+
2,2022-02-02T10:30:00Z,2022-01-24,67211,Gemeente,GM0164,Hengelo,<2004,86,84,18+
2,2022-02-02T10:30:00Z,2022-01-24,5636,Gemeente,GM0164,Hengelo,2004-2009,72,71,12-17
2,2022-02-02T10:30:00Z,2022-01-24,46958,Gemeente,GM0166,Kampen,<=2009,81,80,12+
2,2022-02-02T10:30:00Z,2022-01-24,42625,Gemeente,GM0166,Kampen,<2004,82,81,18+
2,2022-02-02T10:30:00Z,2022-01-24,4333,Gemeente,GM0166,Kampen,2004-2009,64,63,12-17
2,2022-02-02T10:30:00Z,2022-01-24,20505,Gemeente,GM0168,Losser,<=2009,89,88,12+
2,2022-02-02T10:30:00Z,2022-01-24,18917,Gemeente,GM0168,Losser,<2004,90,89,18+
2,2022-02-02T10:30:00Z,2022-01-24,1588,Gemeente,GM0168,Losser,2004-2009,81,79,12-17
2,2022-02-02T10:30:00Z,2022-01-24,41337,Gemeente,GM0171,Noordoostpolder,<=2009,80,78,12+
2,2022-02-02T10:30:00Z,2022-01-24,37616,Gemeente,GM0171,Noordoostpolder,<2004,82,80,18+
2,2022-02-02T10:30:00Z,2022-01-24,3721,Gemeente,GM0171,Noordoostpolder,2004-2009,62,60,12-17
2,2022-02-02T10:30:00Z,2022-01-24,28329,Gemeente,GM0173,Oldenzaal,<=2009,89,88,12+
2,2022-02-02T10:30:00Z,2022-01-24,25901,Gemeente,GM0173,Oldenzaal,<2004,90,89,18+
2,2022-02-02T10:30:00Z,2022-01-24,2428,Gemeente,GM0173,Oldenzaal,2004-2009,81,80,12-17
2,2022-02-02T10:30:00Z,2022-01-24,16180,Gemeente,GM0175,Ommen,<=2009,88,87,12+
2,2022-02-02T10:30:00Z,2022-01-24,14837,Gemeente,GM0175,Ommen,<2004,89,88,18+
2,2022-02-02T10:30:00Z,2022-01-24,1343,Gemeente,GM0175,Ommen,2004-2009,77,76,12-17
2,2022-02-02T10:30:00Z,2022-01-24,33739,Gemeente,GM0177,Raalte,<=2009,93,92,12+
2,2022-02-02T10:30:00Z,2022-01-24,31127,Gemeente,GM0177,Raalte,<2004,93,92,18+
2,2022-02-02T10:30:00Z,2022-01-24,2612,Gemeente,GM0177,Raalte,2004-2009,87,86,12-17
2,2022-02-02T10:30:00Z,2022-01-24,14423,Gemeente,GM0180,Staphorst,<=2009,57,57,12+
2,2022-02-02T10:30:00Z,2022-01-24,12852,Gemeente,GM0180,Staphorst,<2004,60,59,18+
2,2022-02-02T10:30:00Z,2022-01-24,1571,Gemeente,GM0180,Staphorst,2004-2009,34,33,12-17
2,2022-02-02T10:30:00Z,2022-01-24,18974,Gemeente,GM0183,Tubbergen,<=2009,92,90,12+
2,2022-02-02T10:30:00Z,2022-01-24,17324,Gemeente,GM0183,Tubbergen,<2004,92,91,18+
2,2022-02-02T10:30:00Z,2022-01-24,1650,Gemeente,GM0183,Tubbergen,2004-2009,84,82,12-17
2,2022-02-02T10:30:00Z,2022-01-24,16880,Gemeente,GM0184,Urk,<=2009,32,31,12+
2,2022-02-02T10:30:00Z,2022-01-24,14604,Gemeente,GM0184,Urk,<2004,35,34,18+
2,2022-02-02T10:30:00Z,2022-01-24,2276,Gemeente,GM0184,Urk,2004-2009,12,11,12-17
2,2022-02-02T10:30:00Z,2022-01-24,21565,Gemeente,GM0189,Wierden,<=2009,89,88,12+
2,2022-02-02T10:30:00Z,2022-01-24,19720,Gemeente,GM0189,Wierden,<2004,90,89,18+
2,2022-02-02T10:30:00Z,2022-01-24,1845,Gemeente,GM0189,Wierden,2004-2009,79,78,12-17
2,2022-02-02T10:30:00Z,2022-01-24,113617,Gemeente,GM0193,Zwolle,<=2009,86,85,12+
2,2022-02-02T10:30:00Z,2022-01-24,104316,Gemeente,GM0193,Zwolle,<2004,87,86,18+
2,2022-02-02T10:30:00Z,2022-01-24,9301,Gemeente,GM0193,Zwolle,2004-2009,76,74,12-17
2,2022-02-02T10:30:00Z,2022-01-24,24211,Gemeente,GM0197,Aalten,<=2009,90,89,12+
2,2022-02-02T10:30:00Z,2022-01-24,22199,Gemeente,GM0197,Aalten,<2004,90,89,18+
2,2022-02-02T10:30:00Z,2022-01-24,2012,Gemeente,GM0197,Aalten,2004-2009,83,82,12-17
2,2022-02-02T10:30:00Z,2022-01-24,146593,Gemeente,GM0200,Apeldoorn,<=2009,84,82,12+
2,2022-02-02T10:30:00Z,2022-01-24,135504,Gemeente,GM0200,Apeldoorn,<2004,85,83,18+
2,2022-02-02T10:30:00Z,2022-01-24,11089,Gemeente,GM0200,Apeldoorn,2004-2009,71,70,12-17
2,2022-02-02T10:30:00Z,2022-01-24,144365,Gemeente,GM0202,Arnhem,<=2009,81,80,12+
2,2022-02-02T10:30:00Z,2022-01-24,134091,Gemeente,GM0202,Arnhem,<2004,82,81,18+
2,2022-02-02T10:30:00Z,2022-01-24,10274,Gemeente,GM0202,Arnhem,2004-2009,67,66,12-17
2,2022-02-02T10:30:00Z,2022-01-24,50349,Gemeente,GM0203,Barneveld,<=2009,70,69,12+
2,2022-02-02T10:30:00Z,2022-01-24,45371,Gemeente,GM0203,Barneveld,<2004,72,71,18+
2,2022-02-02T10:30:00Z,2022-01-24,4978,Gemeente,GM0203,Barneveld,2004-2009,48,46,12-17
2,2022-02-02T10:30:00Z,2022-01-24,23198,Gemeente,GM0209,Beuningen,<=2009,91,90,12+
2,2022-02-02T10:30:00Z,2022-01-24,21537,Gemeente,GM0209,Beuningen,<2004,91,90,18+
2,2022-02-02T10:30:00Z,2022-01-24,1661,Gemeente,GM0209,Beuningen,2004-2009,83,82,12-17
2,2022-02-02T10:30:00Z,2022-01-24,18894,Gemeente,GM0213,Brummen,<=2009,88,87,12+
2,2022-02-02T10:30:00Z,2022-01-24,17608,Gemeente,GM0213,Brummen,<2004,89,88,18+
2,2022-02-02T10:30:00Z,2022-01-24,1286,Gemeente,GM0213,Brummen,2004-2009,79,78,12-17
2,2022-02-02T10:30:00Z,2022-01-24,24073,Gemeente,GM0214,Buren,<=2009,85,84,12+
2,2022-02-02T10:30:00Z,2022-01-24,22244,Gemeente,GM0214,Buren,<2004,86,85,18+
2,2022-02-02T10:30:00Z,2022-01-24,1829,Gemeente,GM0214,Buren,2004-2009,74,73,12-17
2,2022-02-02T10:30:00Z,2022-01-24,25583,Gemeente,GM0216,Culemborg,<=2009,85,84,12+
2,2022-02-02T10:30:00Z,2022-01-24,23484,Gemeente,GM0216,Culemborg,<2004,87,85,18+
2,2022-02-02T10:30:00Z,2022-01-24,2099,Gemeente,GM0216,Culemborg,2004-2009,72,70,12-17
2,2022-02-02T10:30:00Z,2022-01-24,10146,Gemeente,GM0221,Doesburg,<=2009,86,85,12+
2,2022-02-02T10:30:00Z,2022-01-24,9460,Gemeente,GM0221,Doesburg,<2004,87,86,18+
2,2022-02-02T10:30:00Z,2022-01-24,686,Gemeente,GM0221,Doesburg,2004-2009,74,73,12-17
2,2022-02-02T10:30:00Z,2022-01-24,52047,Gemeente,GM0222,Doetinchem,<=2009,87,86,12+
2,2022-02-02T10:30:00Z,2022-01-24,48089,Gemeente,GM0222,Doetinchem,<2004,88,87,18+
2,2022-02-02T10:30:00Z,2022-01-24,3958,Gemeente,GM0222,Doetinchem,2004-2009,76,75,12-17
2,2022-02-02T10:30:00Z,2022-01-24,17027,Gemeente,GM0225,Druten,<=2009,91,90,12+
2,2022-02-02T10:30:00Z,2022-01-24,15684,Gemeente,GM0225,Druten,<2004,91,90,18+
2,2022-02-02T10:30:00Z,2022-01-24,1343,Gemeente,GM0225,Druten,2004-2009,84,83,12-17
2,2022-02-02T10:30:00Z,2022-01-24,22428,Gemeente,GM0226,Duiven,<=2009,90,89,12+
2,2022-02-02T10:30:00Z,2022-01-24,20703,Gemeente,GM0226,Duiven,<2004,91,90,18+
2,2022-02-02T10:30:00Z,2022-01-24,1725,Gemeente,GM0226,Duiven,2004-2009,82,81,12-17
2,2022-02-02T10:30:00Z,2022-01-24,103083,Gemeente,GM0228,Ede,<=2009,79,78,12+
2,2022-02-02T10:30:00Z,2022-01-24,94446,Gemeente,GM0228,Ede,<2004,81,80,18+
2,2022-02-02T10:30:00Z,2022-01-24,8637,Gemeente,GM0228,Ede,2004-2009,61,59,12-17
2,2022-02-02T10:30:00Z,2022-01-24,20377,Gemeente,GM0230,Elburg,<=2009,82,81,12+
2,2022-02-02T10:30:00Z,2022-01-24,18582,Gemeente,GM0230,Elburg,<2004,84,83,18+
2,2022-02-02T10:30:00Z,2022-01-24,1795,Gemeente,GM0230,Elburg,2004-2009,65,64,12-17
2,2022-02-02T10:30:00Z,2022-01-24,29693,Gemeente,GM0232,Epe,<=2009,85,84,12+
2,2022-02-02T10:30:00Z,2022-01-24,27561,Gemeente,GM0232,Epe,<2004,86,85,18+
2,2022-02-02T10:30:00Z,2022-01-24,2132,Gemeente,GM0232,Epe,2004-2009,72,71,12-17
2,2022-02-02T10:30:00Z,2022-01-24,24120,Gemeente,GM0233,Ermelo,<=2009,82,79,12+
2,2022-02-02T10:30:00Z,2022-01-24,22215,Gemeente,GM0233,Ermelo,<2004,84,81,18+
2,2022-02-02T10:30:00Z,2022-01-24,1905,Gemeente,GM0233,Ermelo,2004-2009,67,65,12-17
2,2022-02-02T10:30:00Z,2022-01-24,42449,Gemeente,GM0243,Harderwijk,<=2009,84,82,12+
2,2022-02-02T10:30:00Z,2022-01-24,38847,Gemeente,GM0243,Harderwijk,<2004,85,83,18+
2,2022-02-02T10:30:00Z,2022-01-24,3602,Gemeente,GM0243,Harderwijk,2004-2009,70,68,12-17
2,2022-02-02T10:30:00Z,2022-01-24,10735,Gemeente,GM0244,Hattem,<=2009,90,89,12+
2,2022-02-02T10:30:00Z,2022-01-24,9755,Gemeente,GM0244,Hattem,<2004,91,90,18+
2,2022-02-02T10:30:00Z,2022-01-24,980,Gemeente,GM0244,Hattem,2004-2009,81,80,12-17
2,2022-02-02T10:30:00Z,2022-01-24,16703,Gemeente,GM0246,Heerde,<=2009,88,87,12+
2,2022-02-02T10:30:00Z,2022-01-24,15351,Gemeente,GM0246,Heerde,<2004,89,88,18+
2,2022-02-02T10:30:00Z,2022-01-24,1352,Gemeente,GM0246,Heerde,2004-2009,76,74,12-17
2,2022-02-02T10:30:00Z,2022-01-24,14853,Gemeente,GM0252,Heumen,<=2009,94,92,12+
2,2022-02-02T10:30:00Z,2022-01-24,13748,Gemeente,GM0252,Heumen,<2004,94,92,18+
2,2022-02-02T10:30:00Z,2022-01-24,1105,Gemeente,GM0252,Heumen,2004-2009,94,92,12-17
2,2022-02-02T10:30:00Z,2022-01-24,30877,Gemeente,GM0262,Lochem,<=2009,90,89,12+
2,2022-02-02T10:30:00Z,2022-01-24,28447,Gemeente,GM0262,Lochem,<2004,91,90,18+
2,2022-02-02T10:30:00Z,2022-01-24,2430,Gemeente,GM0262,Lochem,2004-2009,79,77,12-17
2,2022-02-02T10:30:00Z,2022-01-24,22613,Gemeente,GM0263,Maasdriel,<=2009,85,84,12+
2,2022-02-02T10:30:00Z,2022-01-24,20932,Gemeente,GM0263,Maasdriel,<2004,86,85,18+
2,2022-02-02T10:30:00Z,2022-01-24,1681,Gemeente,GM0263,Maasdriel,2004-2009,78,77,12-17
2,2022-02-02T10:30:00Z,2022-01-24,37976,Gemeente,GM0267,Nijkerk,<=2009,85,84,12+
2,2022-02-02T10:30:00Z,2022-01-24,34522,Gemeente,GM0267,Nijkerk,<2004,87,86,18+
2,2022-02-02T10:30:00Z,2022-01-24,3454,Gemeente,GM0267,Nijkerk,2004-2009,69,68,12-17
2,2022-02-02T10:30:00Z,2022-01-24,159388,Gemeente,GM0268,Nijmegen,<=2009,86,85,12+
2,2022-02-02T10:30:00Z,2022-01-24,149883,Gemeente,GM0268,Nijmegen,<2004,87,86,18+
2,2022-02-02T10:30:00Z,2022-01-24,9505,Gemeente,GM0268,Nijmegen,2004-2009,73,71,12-17
2,2022-02-02T10:30:00Z,2022-01-24,20674,Gemeente,GM0269,Oldebroek,<=2009,81,80,12+
2,2022-02-02T10:30:00Z,2022-01-24,18813,Gemeente,GM0269,Oldebroek,<2004,83,81,18+
2,2022-02-02T10:30:00Z,2022-01-24,1861,Gemeente,GM0269,Oldebroek,2004-2009,64,62,12-17
2,2022-02-02T10:30:00Z,2022-01-24,21380,Gemeente,GM0273,Putten,<=2009,83,82,12+
2,2022-02-02T10:30:00Z,2022-01-24,19518,Gemeente,GM0273,Putten,<2004,85,83,18+
2,2022-02-02T10:30:00Z,2022-01-24,1862,Gemeente,GM0273,Putten,2004-2009,69,67,12-17
2,2022-02-02T10:30:00Z,2022-01-24,28439,Gemeente,GM0274,Renkum,<=2009,89,88,12+
2,2022-02-02T10:30:00Z,2022-01-24,26297,Gemeente,GM0274,Renkum,<2004,90,89,18+
2,2022-02-02T10:30:00Z,2022-01-24,2142,Gemeente,GM0274,Renkum,2004-2009,81,80,12-17
2,2022-02-02T10:30:00Z,2022-01-24,39067,Gemeente,GM0275,Rheden,<=2009,88,87,12+
2,2022-02-02T10:30:00Z,2022-01-24,36382,Gemeente,GM0275,Rheden,<2004,89,88,18+
2,2022-02-02T10:30:00Z,2022-01-24,2685,Gemeente,GM0275,Rheden,2004-2009,75,74,12-17
2,2022-02-02T10:30:00Z,2022-01-24,1509,Gemeente,GM0277,Rozendaal,<=2009,93,92,12+
2,2022-02-02T10:30:00Z,2022-01-24,1346,Gemeente,GM0277,Rozendaal,<2004,93,93,18+
2,2022-02-02T10:30:00Z,2022-01-24,163,Gemeente,GM0277,Rozendaal,2004-2009,93,90,12-17
2,2022-02-02T10:30:00Z,2022-01-24,8735,Gemeente,GM0279,Scherpenzeel,<=2009,76,75,12+
2,2022-02-02T10:30:00Z,2022-01-24,7986,Gemeente,GM0279,Scherpenzeel,<2004,79,78,18+
2,2022-02-02T10:30:00Z,2022-01-24,749,Gemeente,GM0279,Scherpenzeel,2004-2009,52,50,12-17
2,2022-02-02T10:30:00Z,2022-01-24,37297,Gemeente,GM0281,Tiel,<=2009,81,80,12+
2,2022-02-02T10:30:00Z,2022-01-24,34463,Gemeente,GM0281,Tiel,<2004,82,81,18+
2,2022-02-02T10:30:00Z,2022-01-24,2834,Gemeente,GM0281,Tiel,2004-2009,66,65,12-17
2,2022-02-02T10:30:00Z,2022-01-24,22011,Gemeente,GM0285,Voorst,<=2009,91,90,12+
2,2022-02-02T10:30:00Z,2022-01-24,20257,Gemeente,GM0285,Voorst,<2004,91,90,18+
2,2022-02-02T10:30:00Z,2022-01-24,1754,Gemeente,GM0285,Voorst,2004-2009,81,80,12-17
2,2022-02-02T10:30:00Z,2022-01-24,36112,Gemeente,GM0289,Wageningen,<=2009,89,88,12+
2,2022-02-02T10:30:00Z,2022-01-24,34052,Gemeente,GM0289,Wageningen,<2004,89,88,18+
2,2022-02-02T10:30:00Z,2022-01-24,2060,Gemeente,GM0289,Wageningen,2004-2009,82,81,12-17
2,2022-02-02T10:30:00Z,2022-01-24,13332,Gemeente,GM0293,Westervoort,<=2009,87,86,12+
2,2022-02-02T10:30:00Z,2022-01-24,12382,Gemeente,GM0293,Westervoort,<2004,88,87,18+
2,2022-02-02T10:30:00Z,2022-01-24,950,Gemeente,GM0293,Westervoort,2004-2009,73,72,12-17
2,2022-02-02T10:30:00Z,2022-01-24,26164,Gemeente,GM0294,Winterswijk,<=2009,88,87,12+
2,2022-02-02T10:30:00Z,2022-01-24,24163,Gemeente,GM0294,Winterswijk,<2004,89,88,18+
2,2022-02-02T10:30:00Z,2022-01-24,2001,Gemeente,GM0294,Winterswijk,2004-2009,78,76,12-17
2,2022-02-02T10:30:00Z,2022-01-24,36952,Gemeente,GM0296,Wijchen,<=2009,90,89,12+
2,2022-02-02T10:30:00Z,2022-01-24,33958,Gemeente,GM0296,Wijchen,<2004,91,90,18+
2,2022-02-02T10:30:00Z,2022-01-24,2994,Gemeente,GM0296,Wijchen,2004-2009,84,83,12-17
2,2022-02-02T10:30:00Z,2022-01-24,25720,Gemeente,GM0297,Zaltbommel,<=2009,78,77,12+
2,2022-02-02T10:30:00Z,2022-01-24,23382,Gemeente,GM0297,Zaltbommel,<2004,79,78,18+
2,2022-02-02T10:30:00Z,2022-01-24,2338,Gemeente,GM0297,Zaltbommel,2004-2009,61,60,12-17
2,2022-02-02T10:30:00Z,2022-01-24,39716,Gemeente,GM0299,Zevenaar,<=2009,90,89,12+
2,2022-02-02T10:30:00Z,2022-01-24,36945,Gemeente,GM0299,Zevenaar,<2004,90,90,18+
2,2022-02-02T10:30:00Z,2022-01-24,2771,Gemeente,GM0299,Zevenaar,2004-2009,80,79,12-17
2,2022-02-02T10:30:00Z,2022-01-24,43470,Gemeente,GM0301,Zutphen,<=2009,83,82,12+
2,2022-02-02T10:30:00Z,2022-01-24,39987,Gemeente,GM0301,Zutphen,<2004,84,83,18+
2,2022-02-02T10:30:00Z,2022-01-24,3483,Gemeente,GM0301,Zutphen,2004-2009,72,70,12-17
2,2022-02-02T10:30:00Z,2022-01-24,24207,Gemeente,GM0302,Nunspeet,<=2009,75,73,12+
