Version,Date_of_report,Date_of_statistics,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0221,Doesburg,<=2010,85,84,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0221,Doesburg,<2005,87,86,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0221,Doesburg,2005-2010,64,59,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0222,Doetinchem,<=2010,86,85,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0222,Doetinchem,<2005,88,87,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0222,Doetinchem,2005-2010,64,61,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0225,Druten,<=2010,89,88,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0225,Druten,<2005,90,89,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0225,Druten,2005-2010,70,69,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0226,Duiven,<=2010,89,89,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0226,Duiven,<2005,91,90,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0226,Duiven,2005-2010,72,69,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0228,Ede,<=2010,77,76,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0228,Ede,<2005,80,79,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0228,Ede,2005-2010,51,49,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0230,Elburg,<=2010,81,79,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0230,Elburg,<2005,83,82,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0230,Elburg,2005-2010,54,51,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0232,Epe,<=2010,85,83,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0232,Epe,<2005,86,85,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0232,Epe,2005-2010,61,59,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0233,Ermelo,<=2010,81,78,12+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0233,Ermelo,<2005,83,81,18+
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0233,Ermelo,2005-2010,56,53,12-17
4,2022-07-06T10:30:00Z,2022-06-27,Gemeente,GM0243,Harderwijk,<=2010,83,81,12+
