Version,Date_of_report,Date_of_statistics,Populatie,Region_level,Region_code,Region_name,Birth_year,Vaccination_coverage_partly,Vaccination_coverage_completed,Age_group
4,2022-08-10T10:30:00Z,2022-08-01,23592,Gemeente,GM0148,Dalfsen,<2005,90,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,2159,Gemeente,GM0148,Dalfsen,2005-2010,68,66,12-17
4,2022-08-10T10:30:00Z,2022-08-01,90188,Gemeente,GM0150,Deventer,<=2010,84,83,12+
4,2022-08-10T10:30:00Z,2022-08-01,83078,Gemeente,GM0150,Deventer,<2005,86,85,18+
4,2022-08-10T10:30:00Z,2022-08-01,7110,Gemeente,GM0150,Deventer,2005-2010,64,61,12-17
4,2022-08-10T10:30:00Z,2022-08-01,143473,Gemeente,GM0153,Enschede,<=2010,78,77,12+
4,2022-08-10T10:30:00Z,2022-08-01,133313,Gemeente,GM0153,Enschede,<2005,80,79,18+
4,2022-08-10T10:30:00Z,2022-08-01,10160,Gemeente,GM0153,Enschede,2005-2010,54,52,12-17
4,2022-08-10T10:30:00Z,2022-08-01,21826,Gemeente,GM0158,Haaksbergen,<=2010,88,87,12+
4,2022-08-10T10:30:00Z,2022-08-01,20127,Gemeente,GM0158,Haaksbergen,<2005,89,88,18+
4,2022-08-10T10:30:00Z,2022-08-01,1699,Gemeente,GM0158,Haaksbergen,2005-2010,71,70,12-17
4,2022-08-10T10:30:00Z,2022-08-01,54336,Gemeente,GM0160,Hardenberg,<=2010,86,85,12+
4,2022-08-10T10:30:00Z,2022-08-01,49670,Gemeente,GM0160,Hardenberg,<2005,88,87,18+
4,2022-08-10T10:30:00Z,2022-08-01,4666,Gemeente,GM0160,Hardenberg,2005-2010,64,62,12-17
4,2022-08-10T10:30:00Z,2022-08-01,32108,Gemeente,GM0163,Hellendoorn,<=2010,89,88,12+
4,2022-08-10T10:30:00Z,2022-08-01,29481,Gemeente,GM0163,Hellendoorn,<2005,90,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,2627,Gemeente,GM0163,Hellendoorn,2005-2010,70,69,12-17
4,2022-08-10T10:30:00Z,2022-08-01,73523,Gemeente,GM0164,Hengelo,<=2010,83,82,12+
4,2022-08-10T10:30:00Z,2022-08-01,67964,Gemeente,GM0164,Hengelo,<2005,85,84,18+
4,2022-08-10T10:30:00Z,2022-08-01,5559,Gemeente,GM0164,Hengelo,2005-2010,61,60,12-17
4,2022-08-10T10:30:00Z,2022-08-01,47492,Gemeente,GM0166,Kampen,<=2010,79,78,12+
4,2022-08-10T10:30:00Z,2022-08-01,43064,Gemeente,GM0166,Kampen,<2005,82,81,18+
4,2022-08-10T10:30:00Z,2022-08-01,4428,Gemeente,GM0166,Kampen,2005-2010,54,52,12-17
4,2022-08-10T10:30:00Z,2022-08-01,20756,Gemeente,GM0168,Losser,<=2010,88,86,12+
4,2022-08-10T10:30:00Z,2022-08-01,19160,Gemeente,GM0168,Losser,<2005,89,88,18+
4,2022-08-10T10:30:00Z,2022-08-01,1596,Gemeente,GM0168,Losser,2005-2010,68,67,12-17
4,2022-08-10T10:30:00Z,2022-08-01,42360,Gemeente,GM0171,Noordoostpolder,<=2010,76,75,12+
4,2022-08-10T10:30:00Z,2022-08-01,38683,Gemeente,GM0171,Noordoostpolder,<2005,79,77,18+
4,2022-08-10T10:30:00Z,2022-08-01,3677,Gemeente,GM0171,Noordoostpolder,2005-2010,52,50,12-17
4,2022-08-10T10:30:00Z,2022-08-01,28533,Gemeente,GM0173,Oldenzaal,<=2010,88,87,12+
4,2022-08-10T10:30:00Z,2022-08-01,26087,Gemeente,GM0173,Oldenzaal,<2005,89,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,2446,Gemeente,GM0173,Oldenzaal,2005-2010,69,67,12-17
4,2022-08-10T10:30:00Z,2022-08-01,16500,Gemeente,GM0175,Ommen,<=2010,86,84,12+
4,2022-08-10T10:30:00Z,2022-08-01,15126,Gemeente,GM0175,Ommen,<2005,87,86,18+
4,2022-08-10T10:30:00Z,2022-08-01,1374,Gemeente,GM0175,Ommen,2005-2010,66,65,12-17
4,2022-08-10T10:30:00Z,2022-08-01,33895,Gemeente,GM0177,Raalte,<=2010,92,91,12+
4,2022-08-10T10:30:00Z,2022-08-01,31302,Gemeente,GM0177,Raalte,<2005,93,92,18+
4,2022-08-10T10:30:00Z,2022-08-01,2593,Gemeente,GM0177,Raalte,2005-2010,75,73,12-17
4,2022-08-10T10:30:00Z,2022-08-01,14547,Gemeente,GM0180,Staphorst,<=2010,56,55,12+
4,2022-08-10T10:30:00Z,2022-08-01,12957,Gemeente,GM0180,Staphorst,<2005,59,59,18+
4,2022-08-10T10:30:00Z,2022-08-01,1590,Gemeente,GM0180,Staphorst,2005-2010,28,27,12-17
4,2022-08-10T10:30:00Z,2022-08-01,18998,Gemeente,GM0183,Tubbergen,<=2010,90,89,12+
4,2022-08-10T10:30:00Z,2022-08-01,17417,Gemeente,GM0183,Tubbergen,<2005,92,90,18+
4,2022-08-10T10:30:00Z,2022-08-01,1581,Gemeente,GM0183,Tubbergen,2005-2010,73,72,12-17
4,2022-08-10T10:30:00Z,2022-08-01,17274,Gemeente,GM0184,Urk,<=2010,30,30,12+
4,2022-08-10T10:30:00Z,2022-08-01,14871,Gemeente,GM0184,Urk,<2005,34,33,18+
4,2022-08-10T10:30:00Z,2022-08-01,2403,Gemeente,GM0184,Urk,2005-2010,9,9,12-17
4,2022-08-10T10:30:00Z,2022-08-01,21734,Gemeente,GM0189,Wierden,<=2010,88,87,12+
4,2022-08-10T10:30:00Z,2022-08-01,19856,Gemeente,GM0189,Wierden,<2005,90,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,1878,Gemeente,GM0189,Wierden,2005-2010,67,65,12-17
4,2022-08-10T10:30:00Z,2022-08-01,114737,Gemeente,GM0193,Zwolle,<=2010,85,84,12+
4,2022-08-10T10:30:00Z,2022-08-01,105243,Gemeente,GM0193,Zwolle,<2005,86,86,18+
4,2022-08-10T10:30:00Z,2022-08-01,9494,Gemeente,GM0193,Zwolle,2005-2010,65,63,12-17
4,2022-08-10T10:30:00Z,2022-08-01,24247,Gemeente,GM0197,Aalten,<=2010,88,87,12+
4,2022-08-10T10:30:00Z,2022-08-01,22274,Gemeente,GM0197,Aalten,<2005,90,89,18+
4,2022-08-10T10:30:00Z,2022-08-01,1973,Gemeente,GM0197,Aalten,2005-2010,72,68,12-17
4,2022-08-10T10:30:00Z,2022-08-01,147207,Gemeente,GM0200,Apeldoorn,<=2010,82,81,12+
4,2022-08-10T10:30:00Z,2022-08-01,136121,Gemeente,GM0200,Apeldoorn,<2005,84,83,18+
