"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"B.1.1.7 (alpha)",18610.5,0.00701259574185593,0.000927310744769333,NA,0.00519510007963102,0.00883009140408084,2020-12-14,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18610.5,0.000357628931140319,0.000203002422501623,NA,-4.02485057372455e-05,0.000755506368017884,2020-12-14,"B.1.351 (beta)"
"P.1 (gamma)",18610.5,8.19507970271873e-08,2.00913811542974e-07,NA,-3.11833037593709e-07,4.75734631648084e-07,2020-12-14,"P.1 (gamma)"
"C.37 (lambda)",18610.5,3.64702238964221e-07,1.61651021914733e-06,NA,-2.8035995712055e-06,3.53300404913394e-06,2020-12-14,"C.37 (lambda)"
"B.1.617.2 (delta)",18610.5,0.000827597253349485,0.000700695363377486,NA,-0.000545740423004594,0.00220093492970356,2020-12-14,"B.1.617.2 (delta)"
"other",18610.5,0.991801731420618,0.00119116210977547,NA,0.98946709658571,0.994136366255527,2020-12-14,"other"
"B.1.1.7 (alpha)",18611.5,0.0076533709393417,0.000989980408291527,NA,0.00571304499369005,0.00959369688499335,2020-12-15,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18611.5,0.000391004925349671,0.000217146935497286,NA,-3.45952475782513e-05,0.000816605098277594,2020-12-15,"B.1.351 (beta)"
"P.1 (gamma)",18611.5,9.9376921988198e-08,2.39299404314143e-07,NA,-3.6964129198941e-07,5.68395135965806e-07,2020-12-15,"P.1 (gamma)"
"C.37 (lambda)",18611.5,3.680065648244e-07,1.67798021667638e-06,NA,-2.92077422663202e-06,3.65678735628082e-06,2020-12-15,"C.37 (lambda)"
"B.1.617.2 (delta)",18611.5,0.000827039237866395,0.000685507137242083,NA,-0.000516530062273244,0.00217060853800603,2020-12-15,"B.1.617.2 (delta)"
"other",18611.5,0.991128117513955,0.00123552956518925,NA,0.98870652406435,0.993549710963561,2020-12-15,"other"
"B.1.1.7 (alpha)",18612.5,0.00835112341485167,0.00105622600981565,NA,0.00628095847607855,0.0104212883536248,2020-12-16,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18612.5,0.000427394748011818,0.000232129944217973,NA,-2.75715823887011e-05,0.000882361078412337,2020-12-16,"B.1.351 (beta)"
"P.1 (gamma)",18612.5,1.2046100641749e-07,2.84826911571035e-07,NA,-4.37789482089514e-07,6.78711494924495e-07,2020-12-16,"P.1 (gamma)"
"C.37 (lambda)",18612.5,3.71356437714413e-07,1.74027211641308e-06,NA,-3.03951423375452e-06,3.78222710918335e-06,2020-12-16,"C.37 (lambda)"
"B.1.617.2 (delta)",18612.5,0.000826466403649056,0.000670457264160333,NA,-0.000487605687278453,0.00214053849457657,2020-12-16,"B.1.617.2 (delta)"
"other",18612.5,0.990394523616043,0.00128502389721173,NA,0.987875923058235,0.992913124173852,2020-12-16,"other"
"B.1.1.7 (alpha)",18613.5,0.0091106286454441,0.00112616897560567,NA,0.00690337801275063,0.0113178792781376,2020-12-17,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18613.5,0.000467051632303865,0.000247982560650981,NA,-1.89852553660767e-05,0.000953088519973807,2020-12-17,"B.1.351 (beta)"
"P.1 (gamma)",18613.5,1.4595590785411e-07,3.38774986631733e-07,NA,-5.18030864807124e-07,8.09942680515345e-07,2020-12-17,"P.1 (gamma)"
"C.37 (lambda)",18613.5,3.747538186467e-07,1.80338345646299e-06,NA,-3.15981280633611e-06,3.90932044362951e-06,2020-12-17,"C.37 (lambda)"
"B.1.617.2 (delta)",18613.5,0.000825877408393277,0.000655553275094501,NA,-0.000458983400739223,0.00211073821752578,2020-12-17,"B.1.617.2 (delta)"
"other",18613.5,0.989595921604132,0.00133974849963913,NA,0.986970062796498,0.992221780411766,2020-12-17,"other"
"B.1.1.7 (alpha)",18614.5,0.00993701717093839,0.00119992404320393,NA,0.00758520926207501,0.0122888250798018,2020-12-18,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18614.5,0.000510247142771329,0.000264734691472978,NA,-8.62331797403016e-06,0.00102911760351669,2020-12-18,"B.1.351 (beta)"
"P.1 (gamma)",18614.5,1.76765130109539e-07,4.02638821929017e-07,NA,-6.12392459648971e-07,9.65922719868049e-07,2020-12-18,"P.1 (gamma)"
"C.37 (lambda)",18614.5,3.78200573536804e-07,1.86731144217145e-06,NA,-3.28166260103879e-06,4.0380637481124e-06,2020-12-18,"C.37 (lambda)"
"B.1.617.2 (delta)",18614.5,0.000825270579047974,0.000640802717974145,NA,-0.000430679669376728,0.00208122082747267,2020-12-18,"B.1.617.2 (delta)"
"other",18614.5,0.988726910141539,0.00139978193656442,NA,0.985983387959663,0.991470432323415,2020-12-18,"other"
"B.1.1.7 (alpha)",18615.5,0.0108357942005332,0.00127759745277317,NA,0.0083317492063577,0.0133398391947088,2020-12-19,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18615.5,0.000557272059272116,0.000282414657181262,NA,3.74950249061687e-06,0.00111079461605362,2020-12-19,"B.1.351 (beta)"
"P.1 (gamma)",18615.5,2.13971798574648e-07,4.78163876652805e-07,NA,-7.23212178372902e-07,1.1511557755222e-06,2020-12-19,"P.1 (gamma)"
"C.37 (lambda)",18615.5,3.81698457994702e-07,1.93205275327741e-06,NA,-3.40505535466047e-06,4.16845227064988e-06,2020-12-19,"C.37 (lambda)"
"B.1.617.2 (delta)",18615.5,0.000824643891754902,0.000626213176201103,NA,-0.000402711380243695,0.0020519991637535,2020-12-19,"B.1.617.2 (delta)"
"other",18615.5,0.987781694178183,0.00146517931207922,NA,0.984909995495615,0.990653392860752,2020-12-19,"other"
"B.1.1.7 (alpha)",18616.5,0.0118128592314355,0.00135928495451801,NA,0.00914870967585307,0.014477008787018,2020-12-20,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18616.5,0.000608437232626329,0.000301048772984269,NA,1.83924799871875e-05,0.00119848198526547,2020-12-20,"B.1.351 (beta)"
"P.1 (gamma)",18616.5,2.58872902372752e-07,5.67384175837689e-07,NA,-8.53179647667059e-07,1.37092545241256e-06,2020-12-20,"P.1 (gamma)"
"C.37 (lambda)",18616.5,3.85249100987238e-07,1.99760333503836e-06,NA,-3.52998149108505e-06,4.30047969305953e-06,2020-12-20,"C.37 (lambda)"
"B.1.617.2 (delta)",18616.5,0.000823994951297691,0.000611792287213676,NA,-0.000375095897660499,0.00202308580025588,2020-12-20,"B.1.617.2 (delta)"
"other",18616.5,0.986754064462637,0.00153597351341897,NA,0.983743611695128,0.989764517230146,2020-12-20,"other"
"B.1.1.7 (alpha)",18617.5,0.0128745254675137,0.00144506962871238,NA,0.0100422410400847,0.0157068098949426,2020-12-21,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18617.5,0.000664074396987353,0.000320660890857173,NA,3.55905996567662e-05,0.00129255819431794,2020-12-21,"B.1.351 (beta)"
"P.1 (gamma)",18617.5,3.13019682507039e-07,6.72665643645738e-07,NA,-1.00538075267606e-06,1.63142011769014e-06,2020-12-21,"P.1 (gamma)"
