"DATE_NUM","r","SE","df","r_LOWER","r_UPPER","DATE","Re","Re_LOWER","Re_UPPER"
18655.5,-0.028168963872752,0.000750781693398501,327.01766459975,-0.0296459351882977,-0.0266919925572064,2021-01-28,0.872975929720172,0.866608708602547,0.879372041340259
18656.5,-0.0272032765975952,0.000740016428750751,327.01766459975,-0.0286590700031987,-0.0257474831919916,2021-01-29,0.877154622938818,0.87085988261613,0.883477463191458
18657.5,-0.0258485581985003,0.000704468272589459,327.01766459975,-0.0272344196819054,-0.0244626967150952,2021-01-30,0.883037562804813,0.877019668640754,0.889080962711317
18658.5,-0.0241048086754666,0.000646592501593529,327.01766459975,-0.0253768143544778,-0.0228328029964554,2021-01-31,0.890645773015912,0.885091855836043,0.896221221250281
18659.5,-0.0219720280284951,0.000572042128079981,327.01766459975,-0.0230973748794996,-0.0208466811774906,2021-02-01,0.900006396540222,0.895059776218086,0.904969911281144
18660.5,-0.019450216257585,0.000493608546993232,327.01766459975,-0.0204212650610222,-0.0184791674541478,2021-02-02,0.911152757136697,0.906850679314013,0.91546745113938
18661.5,-0.016539373362737,0.000439306540837871,327.01766459975,-0.0174035968317617,-0.0156751498937122,2021-02-03,0.92412443436527,0.920261313915971,0.927997581618429
18662.5,-0.0132962741907199,0.000452695443926578,327.01766459975,-0.0141868369085336,-0.0124057114729061,2021-02-04,0.938710738187979,0.934691211198493,0.942740952330225
18663.5,-0.0101298989172584,0.000526998405249591,327.01766459975,-0.0111666337427556,-0.00909316409176129,2021-02-05,0.953088698721616,0.948366159995412,0.957825773393413
18664.5,-0.00713059976080795,0.000616043901202454,327.01766459975,-0.00834250886726765,-0.00591869065434825,2021-02-06,0.966833036029747,0.961264768479272,0.97242123468924
18665.5,-0.0042983767213684,0.000695215653506631,327.01766459975,-0.00566603603881878,-0.00293071740391803,2021-02-07,0.9799238023634,0.973588756257727,0.986284313291736
18666.5,-0.00163322979894041,0.000754023712026462,327.01766459975,-0.0031165789584853,-0.000149880639395522,2021-02-08,0.992342054091095,0.985418438825806,0.999295714641403
18667.5,0.000864841006476668,0.000787977279989638,327.01766459975,-0.000685303130067512,0.00241498514302085,2021-02-09,1.00406987036167,0.996782286805985,1.0113903580932
18668.5,0.00319583569488294,0.000795266190127502,327.01766459975,0.0016313524884202,0.00476031890134568,2021-02-10,1.01509037058859,1.00768557115858,1.02252877314365
18669.5,0.00535975426627865,0.000775605102108044,327.01766459975,0.0038339492312371,0.0068855593013202,2021-02-11,1.02538773077071,1.01812024766936,1.0326872530744
18670.5,0.00735659672066247,0.000730055608766686,327.01766459975,0.00592039868549102,0.00879279475583393,2021-02-12,1.03494719866322,1.02806615348202,1.04185669328462
18671.5,0.009186363058037,0.000661639732921554,327.01766459975,0.00788475579277868,0.0104879703232953,2021-02-13,1.04375510781148,1.03748484227644,1.05004878774703
18672.5,0.0108490532783989,0.000577341436465053,327.01766459975,0.00971328139100129,0.0119848251657966,2021-02-14,1.05179889045902,1.04630010080442,1.05731554090789
18673.5,0.0123446673817503,0.000493343865222296,327.01766459975,0.0113741392721271,0.0133151954913735,2021-02-15,1.05906708934052,1.05434710727953,1.06380013456282
18674.5,0.0136731314290353,0.00044501983496184,327.01766459975,0.0127976685123621,0.0145485943457086,2021-02-16,1.06554900691937,1.06127464647249,1.06983401222165
18675.5,0.0148062738452845,0.000472442601601326,327.01766459975,0.0138768636359754,0.0157356840545935,2021-02-17,1.07109726901633,1.06654523558416,1.07566131450099
18676.5,0.0157113665224849,0.000546755234033463,327.01766459975,0.0146357651800541,0.0167869678649157,2021-02-18,1.07554174550243,1.07026125817329,1.08083833684191
18677.5,0.0163880917106091,0.000628497459942157,327.01766459975,0.015151683406584,0.0176245000146341,2021-02-19,1.07887226828648,1.07279206511224,1.08497376635695
18678.5,0.0168364494096553,0.000698028197308894,327.01766459975,0.0154632571302851,0.0182096416890255,2021-02-20,1.0810823869365,1.07432226514274,1.08786878879493
18679.5,0.0170564396196244,0.000746720197988677,327.01766459975,0.015587458259443,0.0185254209798058,2021-02-21,1.0821678234098,1.07493261795964,1.08943311041353
18680.5,0.017048062340518,0.000770783874618971,327.01766459975,0.0155317418397554,0.0185643828412805,2021-02-22,1.08212647737765,1.07465878815087,1.08962621791132
18681.5,0.0168113175723337,0.000768737932183906,327.01766459975,0.0152990219410058,0.0183236132036616,2021-02-23,1.0809584288364,1.07351550538311,1.08843322545741
18682.5,0.0163462053150725,0.00074055047442893,327.01766459975,0.0148893613109331,0.017803049319212,2021-02-24,1.07866593800812,1.07150479670165,1.08585664295909
18683.5,0.015652725568734,0.000687648783560379,327.01766459975,0.0142999521361651,0.0170054990013029,2021-02-25,1.07525344253045,1.06861593523724,1.0819164212759
18684.5,0.0147308783333187,0.000613829314428032,327.01766459975,0.0135233258609783,0.015938430805659,2021-02-26,1.07072755193271,1.06481684153688,1.07665853815574
18685.5,0.0135806636088266,0.000528007037560541,327.01766459975,0.0125419445567502,0.0146193826609029,2021-02-27,1.06509703939272,1.06002810708774,1.0701809553086
18686.5,0.0122020813952572,0.000451203240366005,327.01766459975,0.0113144542070059,0.0130897085835084,2021-02-28,1.05837283076553,1.05405726618701,1.0626993204412
18687.5,0.010671942924804,0.000425969701693553,327.01766459975,0.00983395628204904,0.011509929567559,2021-03-01,1.05094024360242,1.04688349561891,1.05500671252294
18688.5,0.00947153332544235,0.000468666322337839,327.01766459975,0.00854955198154208,0.0103935146693426,2021-03-02,1.04513199146624,1.04068445837617,1.04959127634547
18689.5,0.00869454285523672,0.000539726874164481,327.01766459975,0.00763276801658606,0.00975631769388739,2021-03-03,1.04138309961004,1.03627363762911,1.046508133873
18690.5,0.00834097151418781,0.000610007079146049,327.01766459975,0.00714093831399057,0.00954100471438506,2021-03-04,1.03967991874409,1.03391213201169,1.04546758950259
18691.5,0.00841081930229497,0.000665661928604423,327.01766459975,0.00710129939385242,0.00972033921073752,2021-03-05,1.04001624417768,1.03372195219384,1.04633421582446
18692.5,0.00890408621955825,0.000700502116442553,327.01766459975,0.00752602713585664,0.0102821453032599,2021-03-06,1.04239330132352,1.03576084098666,1.04905199922471
18693.5,0.00982077226597848,0.000711805477686428,327.01766459975,0.00842047670465194,0.011221067827305,2021-03-07,1.04681974856193,1.04006275102342,1.05360386464024
18694.5,0.0111608774415556,0.000698657989777415,327.01766459975,0.00978644620628264,0.0125353086768286,2021-03-08,1.05331169745939,1.04665378724997,1.05999577223091
18695.5,0.0129244017462884,0.000661480403761406,327.01766459975,0.0116231079204777,0.0142256955720991,2021-03-09,1.06189275030211,1.05555667482184,1.06825232529422
18696.5,0.0151113451801783,0.000602338662209271,327.01766459975,0.0139263976326426,0.016296292727714,2021-03-10,1.07259405487199,1.06678753865489,1.07842010302401
18697.5,0.0177217077432252,0.000526397156511558,327.01766459975,0.016686155721128,0.0187572597653224,2021-03-11,1.08545437635953,1.0803412224247,1.09058249009297
18698.5,0.0207554894354269,0.000446056657959878,327.01766459975,0.0198779868341944,0.0216329920366594,2021-03-12,1.10052018627672,1.09614927117316,1.10490187860452
18699.5,0.0242098168022512,0.00039034576141308,327.01766459975,0.0234419111676023,0.0249777224369001,2021-03-13,1.11783129839945,1.11396852633846,1.12170235451388
18700.5,0.0274875676535043,0.000399765349990134,327.01766459975,0.0267011313830462,0.0282740039239623,2021-03-14,1.1344124968054,1.13042035133637,1.13841336153873
