"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"B.1.1.7 (alpha)",18621.5,0.0473884965314623,0.00491321773935681,NA,0.0377587667141196,0.0570182263488049,2020-12-25,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18621.5,0.00257460501723802,0.00104979346288022,NA,0.001,0.00463216239568885,2020-12-25,"B.1.351 (beta)"
"P.1 (gamma)",18621.5,0.001,2.9268973951357e-06,NA,0.001,0.001,2020-12-25,"P.1 (gamma)"
"C.37 (lambda)",18621.5,0.001,1.67478878311244e-11,NA,0.001,0.001,2020-12-25,"C.37 (lambda)"
"B.1.617.2 (delta)",18621.5,0.001,5.0216742144133e-05,NA,0.001,0.001,2020-12-25,"B.1.617.2 (delta)"
"other",18621.5,0.950027529587005,0.00508287342281489,NA,0.940065280740312,0.959989778433698,2020-12-25,"other"
"B.1.1.7 (alpha)",18622.5,0.0498395816709577,0.00499962958879649,NA,0.0400404877408758,0.0596386756010396,2020-12-26,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18622.5,0.00270585814768774,0.00107288318663781,NA,0.001,0.00480867055311641,2020-12-26,"B.1.351 (beta)"
"P.1 (gamma)",18622.5,0.001,3.36133106032274e-06,NA,0.001,0.001,2020-12-26,"P.1 (gamma)"
"C.37 (lambda)",18622.5,0.001,1.23707861238954e-11,NA,0.001,0.001,2020-12-26,"C.37 (lambda)"
"B.1.617.2 (delta)",18622.5,0.001,5.06615785613071e-05,NA,0.001,0.001,2020-12-26,"B.1.617.2 (delta)"
"other",18622.5,0.947444715759568,0.00517064161387756,NA,0.937310444419404,0.957578987099732,2020-12-26,"other"
"B.1.1.7 (alpha)",18623.5,0.0524222695286698,0.00508435924629511,NA,0.0424571085214681,0.0623874305358714,2020-12-27,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18623.5,0.002843852453968,0.0010959264402399,NA,0.001,0.0049918288065434,2020-12-27,"B.1.351 (beta)"
"P.1 (gamma)",18623.5,0.001,3.85738976900181e-06,NA,0.001,0.001,2020-12-27,"P.1 (gamma)"
"C.37 (lambda)",18623.5,0.001,9.16855111173817e-12,NA,0.001,0.001,2020-12-27,"C.37 (lambda)"
