Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,Is_subvariant_of,Sample_size,Variant_cases
4,2023-04-14T15:20:27Z,2021-01-18,BQ.1.1,Omicron,"",VUM,BQ.1,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BA.4.6,Omicron,"",VUM,BA.4,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BA.3,Omicron,DEV,"",B.1.1.529,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BA.2.12.1,Omicron,DEV,VUM,BA.2+S:L452X,651,0
4,2023-04-14T15:20:27Z,2021-01-18,BA.1,Omicron,DEV,"",B.1.1.529,651,0
4,2023-04-14T15:20:27Z,2021-01-18,B.1.617.2,Delta,DEV,"","",651,0
4,2023-04-14T15:20:27Z,2021-01-18,B.1.351,Beta,DEV,"","",651,3
4,2023-04-14T15:20:27Z,2021-01-18,P.1,Gamma,DEV,"","",651,0
4,2023-04-14T15:20:27Z,2021-01-18,B.1.1.7,Alpha,DEV,"","",651,158
4,2023-04-14T15:20:27Z,2021-01-18,B.1.621,Mu,DEV,"","",651,0
4,2023-04-14T15:20:27Z,2021-01-18,C.37,Lambda,DEV,"","",651,0
4,2023-04-14T15:20:27Z,2021-01-18,BA.2+S:L452X,Omicron,DEV,"",BA.2,651,0
4,2023-04-14T15:20:27Z,2021-01-18,XAK,Omicron,DEV,"",Recombinants,651,0
4,2023-04-14T15:20:27Z,2021-01-18,XBF,Omicron,"",VUM,Recombinants,651,0
4,2023-04-14T15:20:27Z,2021-01-18,XBB.1.9,Omicron,VOI,VUM,XBB,651,0
4,2023-04-14T15:20:27Z,2021-01-25,Recombinants,Recombinants,"","","",876,0
4,2023-04-14T15:20:27Z,2021-01-25,B.1.1.529,Omicron,"",VOC,"",876,0
4,2023-04-14T15:20:27Z,2021-01-25,BA.2,Omicron,VOC,"",B.1.1.529,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BA.4,Omicron,VOC,VUM,B.1.1.529,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BA.5,Omicron,VOC,VUM,B.1.1.529,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BA.2.75,Omicron,VOI,VUM,BA.2,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BQ.1,Omicron,VOI,VUM,BA.5,876,0
4,2023-04-14T15:20:27Z,2021-01-25,XBB,Omicron,VOI,VUM,Recombinants,876,0
4,2023-04-14T15:20:27Z,2021-01-25,XBB.1.5,Omicron,VOI,VUM,XBB,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BA.2.3.20,Omicron,DEV,VUM,BA.2,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BF.7,Omicron,DEV,VUM,BA.5,876,0
4,2023-04-14T15:20:27Z,2021-01-25,XBC,Omicron,VUM,"",Recombinants,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BN.1,Omicron,VUM,"",BA.2.75,876,0
4,2023-04-14T15:20:27Z,2021-01-25,CH.1.1,Omicron,VUM,"",BA.2.75,876,0
4,2023-04-14T15:20:27Z,2021-01-25,XAY,Omicron,VUM,"",Recombinants,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BQ.1.1,Omicron,"",VUM,BQ.1,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BA.4.6,Omicron,"",VUM,BA.4,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BA.3,Omicron,DEV,"",B.1.1.529,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BA.2.12.1,Omicron,DEV,VUM,BA.2+S:L452X,876,0
4,2023-04-14T15:20:27Z,2021-01-25,BA.1,Omicron,DEV,"",B.1.1.529,876,0
4,2023-04-14T15:20:27Z,2021-01-25,B.1.617.2,Delta,DEV,"","",876,0
4,2023-04-14T15:20:27Z,2021-01-25,B.1.351,Beta,DEV,"","",876,14
