Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,Sample_size,Variant_cases
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.617.2+S:Q613H,"",VUM,"",203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.617.2+S:Q677H,"",VUM,"",203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,AY.4.2,"",VUM,"",203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.1.7,Alpha,DEV,VOI,203,1
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.427/B.1.429,"",DEV,VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.525,"",DEV,VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.617.1,"",DEV,VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.620,"",DEV,VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.214.2,"",DEV,VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.526,"",DEV,VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.1.519,"",DEV,VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,R.1,"","",VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.466.2,"","",VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,C.36.3,"","",VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.1.523,"","",VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.619,"","",VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-14T00:00:00Z,B.1.630,"","",VUM,203,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.351,Beta,VOC,VOC,257,1
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,P.1,Gamma,VOC,VOC,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.617.2,Delta,VOC,VOC,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.621,Mu,VOI,VOI,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,C.37,Lambda,VOI,VOI,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,C.36+S:L452R,"",VUM,"",257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.1.318,"",VUM,VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,P.1+S:P681H,"",VUM,"",257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.617.2+S:K417N,"",VUM,"",257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,C.1.2,"",VUM,VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.617.2+S:E484del,"",VUM,"",257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.617.2+S:Q613H,"",VUM,"",257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.617.2+S:Q677H,"",VUM,"",257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,AY.4.2,"",VUM,"",257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.1.7,Alpha,DEV,VOI,257,5
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.427/B.1.429,"",DEV,VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.525,"",DEV,VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.617.1,"",DEV,VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.620,"",DEV,VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.214.2,"",DEV,VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.526,"",DEV,VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.1.519,"",DEV,VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,R.1,"","",VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.466.2,"","",VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,C.36.3,"","",VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.1.523,"","",VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.619,"","",VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-21T00:00:00Z,B.1.630,"","",VUM,257,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.351,Beta,VOC,VOC,207,1
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,P.1,Gamma,VOC,VOC,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.617.2,Delta,VOC,VOC,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.621,Mu,VOI,VOI,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,C.37,Lambda,VOI,VOI,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,C.36+S:L452R,"",VUM,"",207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.1.318,"",VUM,VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,P.1+S:P681H,"",VUM,"",207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.617.2+S:K417N,"",VUM,"",207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,C.1.2,"",VUM,VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.617.2+S:E484del,"",VUM,"",207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.617.2+S:Q613H,"",VUM,"",207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.617.2+S:Q677H,"",VUM,"",207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,AY.4.2,"",VUM,"",207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.1.7,Alpha,DEV,VOI,207,9
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.427/B.1.429,"",DEV,VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.525,"",DEV,VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.617.1,"",DEV,VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.620,"",DEV,VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.214.2,"",DEV,VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.526,"",DEV,VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.1.519,"",DEV,VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,R.1,"","",VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.466.2,"","",VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,C.36.3,"","",VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.1.523,"","",VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.619,"","",VUM,207,0
1.1,2021-10-29T15:03:00Z,2020-12-28T00:00:00Z,B.1.630,"","",VUM,207,0
1.1,2021-10-29T15:03:00Z,2021-01-04T00:00:00Z,B.1.351,Beta,VOC,VOC,356,0
1.1,2021-10-29T15:03:00Z,2021-01-04T00:00:00Z,P.1,Gamma,VOC,VOC,356,0
1.1,2021-10-29T15:03:00Z,2021-01-04T00:00:00Z,B.1.617.2,Delta,VOC,VOC,356,0
1.1,2021-10-29T15:03:00Z,2021-01-04T00:00:00Z,B.1.621,Mu,VOI,VOI,356,0
1.1,2021-10-29T15:03:00Z,2021-01-04T00:00:00Z,C.37,Lambda,VOI,VOI,356,0
1.1,2021-10-29T15:03:00Z,2021-01-04T00:00:00Z,C.36+S:L452R,"",VUM,"",356,0
