Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,WHO_category,May_include_samples_listed_before,Sample_size,Variant_cases
3,2022-01-28T10:16:28Z,2021-01-04,B.1.351,Beta,VOC,VOC,FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,P.1,Gamma,VOC,VOC,FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,B.1.617.2,Delta,VOC,VOC,FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,B.1.1.529,Omicron,VOC,VOC,FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,B.1.621,Mu,VOI,VOI,FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,C.37,Lambda,VOI,VOI,FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,AY.4.2,"",VOI,"",TRUE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,C.36+S:L452R,"",VUM,"",FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,B.1.1.318,"",VUM,VUM,FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,P.1+S:P681H,"",VUM,"",TRUE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,B.1.617.2+S:K417N,"",VUM,"",TRUE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,C.1.2,"",VUM,VUM,FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,B.1.617.2+S:E484del,"",VUM,"",TRUE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,B.1.617.2+S:Q613H,"",VUM,"",TRUE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,B.1.617.2+S:Q677H,"",VUM,"",TRUE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,B.1.640,"",VUM,VUM,FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,B.1.1.7,Alpha,DEV,VOC,FALSE,356,45
3,2022-01-28T10:16:28Z,2021-01-04,B.1.1.519,"",DEV,VUM,FALSE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,BA.1,"",VOC,VOC,TRUE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,BA.2,"",VOC,VOC,TRUE,356,0
3,2022-01-28T10:16:28Z,2021-01-04,BA.3,"",VOC,VOC,TRUE,356,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.351,Beta,VOC,VOC,FALSE,303,3
3,2022-01-28T10:16:28Z,2021-01-11,P.1,Gamma,VOC,VOC,FALSE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.617.2,Delta,VOC,VOC,FALSE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.1.529,Omicron,VOC,VOC,FALSE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.621,Mu,VOI,VOI,FALSE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,C.37,Lambda,VOI,VOI,FALSE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,AY.4.2,"",VOI,"",TRUE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,C.36+S:L452R,"",VUM,"",FALSE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.1.318,"",VUM,VUM,FALSE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,P.1+S:P681H,"",VUM,"",TRUE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.617.2+S:K417N,"",VUM,"",TRUE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,C.1.2,"",VUM,VUM,FALSE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.617.2+S:E484del,"",VUM,"",TRUE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.617.2+S:Q613H,"",VUM,"",TRUE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.617.2+S:Q677H,"",VUM,"",TRUE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.640,"",VUM,VUM,FALSE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,B.1.1.7,Alpha,DEV,VOC,FALSE,303,60
3,2022-01-28T10:16:28Z,2021-01-11,B.1.1.519,"",DEV,VUM,FALSE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,BA.1,"",VOC,VOC,TRUE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,BA.2,"",VOC,VOC,TRUE,303,0
3,2022-01-28T10:16:28Z,2021-01-11,BA.3,"",VOC,VOC,TRUE,303,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.351,Beta,VOC,VOC,FALSE,651,3
3,2022-01-28T10:16:28Z,2021-01-18,P.1,Gamma,VOC,VOC,FALSE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.617.2,Delta,VOC,VOC,FALSE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.1.529,Omicron,VOC,VOC,FALSE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.621,Mu,VOI,VOI,FALSE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,C.37,Lambda,VOI,VOI,FALSE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,AY.4.2,"",VOI,"",TRUE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,C.36+S:L452R,"",VUM,"",FALSE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.1.318,"",VUM,VUM,FALSE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,P.1+S:P681H,"",VUM,"",TRUE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.617.2+S:K417N,"",VUM,"",TRUE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,C.1.2,"",VUM,VUM,FALSE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.617.2+S:E484del,"",VUM,"",TRUE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.617.2+S:Q613H,"",VUM,"",TRUE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.617.2+S:Q677H,"",VUM,"",TRUE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.640,"",VUM,VUM,FALSE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,B.1.1.7,Alpha,DEV,VOC,FALSE,651,158
3,2022-01-28T10:16:28Z,2021-01-18,B.1.1.519,"",DEV,VUM,FALSE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,BA.1,"",VOC,VOC,TRUE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,BA.2,"",VOC,VOC,TRUE,651,0
3,2022-01-28T10:16:28Z,2021-01-18,BA.3,"",VOC,VOC,TRUE,651,0
3,2022-01-28T10:16:28Z,2021-01-25,B.1.351,Beta,VOC,VOC,FALSE,876,14
3,2022-01-28T10:16:28Z,2021-01-25,P.1,Gamma,VOC,VOC,FALSE,876,1
3,2022-01-28T10:16:28Z,2021-01-25,B.1.617.2,Delta,VOC,VOC,FALSE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,B.1.1.529,Omicron,VOC,VOC,FALSE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,B.1.621,Mu,VOI,VOI,FALSE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,C.37,Lambda,VOI,VOI,FALSE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,AY.4.2,"",VOI,"",TRUE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,C.36+S:L452R,"",VUM,"",FALSE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,B.1.1.318,"",VUM,VUM,FALSE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,P.1+S:P681H,"",VUM,"",TRUE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,B.1.617.2+S:K417N,"",VUM,"",TRUE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,C.1.2,"",VUM,VUM,FALSE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,B.1.617.2+S:E484del,"",VUM,"",TRUE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,B.1.617.2+S:Q613H,"",VUM,"",TRUE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,B.1.617.2+S:Q677H,"",VUM,"",TRUE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,B.1.640,"",VUM,VUM,FALSE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,B.1.1.7,Alpha,DEV,VOC,FALSE,876,216
3,2022-01-28T10:16:28Z,2021-01-25,B.1.1.519,"",DEV,VUM,FALSE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,BA.1,"",VOC,VOC,TRUE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,BA.2,"",VOC,VOC,TRUE,876,0
3,2022-01-28T10:16:28Z,2021-01-25,BA.3,"",VOC,VOC,TRUE,876,0
3,2022-01-28T10:16:28Z,2021-02-01,B.1.351,Beta,VOC,VOC,FALSE,867,18
3,2022-01-28T10:16:28Z,2021-02-01,P.1,Gamma,VOC,VOC,FALSE,867,0
3,2022-01-28T10:16:28Z,2021-02-01,B.1.617.2,Delta,VOC,VOC,FALSE,867,0
