Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-09-16T12:56:39Z,2021-03-08,B.1.621,Mu,VOI,1973,0
1,2021-09-16T12:56:39Z,2021-03-08,C.37,Lambda,VOI,1973,0
1,2021-09-16T12:56:39Z,2021-03-08,B.1.1.7,Alpha,"",1973,1724
1,2021-09-16T12:56:39Z,2021-03-08,B.1.525,Eta,"",1973,5
1,2021-09-16T12:56:39Z,2021-03-08,B.1.617.1,Kappa,"",1973,0
1,2021-09-16T12:56:39Z,2021-03-08,B.1.526,Iota,"",1973,0
1,2021-09-16T12:56:39Z,2021-03-15,B.1.351,Beta,VOC,1560,55
1,2021-09-16T12:56:39Z,2021-03-15,P.1,Gamma,VOC,1560,23
1,2021-09-16T12:56:39Z,2021-03-15,B.1.617.2,Delta,VOC,1560,0
1,2021-09-16T12:56:39Z,2021-03-15,B.1.620,"",VOI,1560,0
1,2021-09-16T12:56:39Z,2021-03-15,B.1.621,Mu,VOI,1560,0
1,2021-09-16T12:56:39Z,2021-03-15,C.37,Lambda,VOI,1560,0
1,2021-09-16T12:56:39Z,2021-03-15,B.1.1.7,Alpha,"",1560,1396
1,2021-09-16T12:56:39Z,2021-03-15,B.1.525,Eta,"",1560,2
1,2021-09-16T12:56:39Z,2021-03-15,B.1.617.1,Kappa,"",1560,0
1,2021-09-16T12:56:39Z,2021-03-15,B.1.526,Iota,"",1560,0
1,2021-09-16T12:56:39Z,2021-03-22,B.1.351,Beta,VOC,1601,39
1,2021-09-16T12:56:39Z,2021-03-22,P.1,Gamma,VOC,1601,23
1,2021-09-16T12:56:39Z,2021-03-22,B.1.617.2,Delta,VOC,1601,0
1,2021-09-16T12:56:39Z,2021-03-22,B.1.620,"",VOI,1601,0
1,2021-09-16T12:56:39Z,2021-03-22,B.1.621,Mu,VOI,1601,0
1,2021-09-16T12:56:39Z,2021-03-22,C.37,Lambda,VOI,1601,0
1,2021-09-16T12:56:39Z,2021-03-22,B.1.1.7,Alpha,"",1601,1493
1,2021-09-16T12:56:39Z,2021-03-22,B.1.525,Eta,"",1601,0
1,2021-09-16T12:56:39Z,2021-03-22,B.1.617.1,Kappa,"",1601,0
1,2021-09-16T12:56:39Z,2021-03-22,B.1.526,Iota,"",1601,0
1,2021-09-16T12:56:39Z,2021-03-29,B.1.351,Beta,VOC,1726,40
1,2021-09-16T12:56:39Z,2021-03-29,P.1,Gamma,VOC,1726,15
1,2021-09-16T12:56:39Z,2021-03-29,B.1.617.2,Delta,VOC,1726,0
1,2021-09-16T12:56:39Z,2021-03-29,B.1.620,"",VOI,1726,0
1,2021-09-16T12:56:39Z,2021-03-29,B.1.621,Mu,VOI,1726,0
1,2021-09-16T12:56:39Z,2021-03-29,C.37,Lambda,VOI,1726,0
1,2021-09-16T12:56:39Z,2021-03-29,B.1.1.7,Alpha,"",1726,1632
1,2021-09-16T12:56:39Z,2021-03-29,B.1.525,Eta,"",1726,1
1,2021-09-16T12:56:39Z,2021-03-29,B.1.617.1,Kappa,"",1726,0
1,2021-09-16T12:56:39Z,2021-03-29,B.1.526,Iota,"",1726,0
1,2021-09-16T12:56:39Z,2021-04-05,B.1.351,Beta,VOC,1531,28
