"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d","color","color_incl_new","color_yesterday","color_lastweek"
"Scherpenzeel","GM0279",2022-08-18,5412,5412,5408,5408,5397,619,619,2021-01-01,4793,0,4,15,-63.6363636363636,"&#x2798;&#x2798;",10317,0,38.7709605505476,145.391102064554,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Tiel","GM0281",2022-08-18,20120,20115,20093,20090,20073,1953,1953,2021-01-01,18167,5,27,47,35,"&#x279A;",42294,11.8220078498132,63.8388423889913,111.126873788244,"&#128721;","&#128721;","&#128721;","&#128721;"
"Voorst","GM0285",2022-08-18,12038,12034,12016,12010,11981,860,860,2021-01-01,11178,4,22,57,-37.1428571428571,"&#x2798;",25019,15.9878492345817,87.9331707901995,227.826851592789,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Wageningen","GM0289",2022-08-18,18732,18732,18719,18716,18700,1509,1509,2021-01-01,17223,0,13,32,-31.5789473684211,"&#x2798;",40056,0,32.4545636109447,79.8881565807869,"&#128999;","&#128999;","&#128721;","&#128721;"
"Westervoort","GM0293",2022-08-18,6924,6924,6912,6912,6894,616,616,2021-01-01,6308,0,12,30,-33.3333333333333,"&#x2798;",14943,0,80.3051596065047,200.762899016262,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Winterswijk","GM0294",2022-08-18,13183,13179,13169,13169,13155,959,959,2021-01-01,12224,4,14,28,0,"-",29144,13.7249519626681,48.0373318693385,96.0746637386769,"&#128721;","&#128721;","&#128999;","&#128721;"
"Wijchen","GM0296",2022-08-18,20810,20809,20775,20767,20729,1968,1968,2021-01-01,18842,1,35,81,-23.9130434782609,"&#x2798;",41302,2.42119025713041,84.7416589995642,196.116410827563,"&#128721;","&#128721;","&#x1F7E3;","&#x1F7E3;"
"Zaltbommel","GM0297",2022-08-18,14704,14704,14689,14686,14668,1775,1775,2021-01-01,12929,0,15,36,-28.5714285714286,"&#x2798;",30041,0,49.9317599280983,119.836223827436,"&#128721;","&#128721;","&#128721;","&#128721;"
"Zevenaar","GM0299",2022-08-18,20222,20220,20197,20197,20168,1407,1407,2021-01-01,18815,2,25,54,-13.7931034482759,"&#x2798;",44676,4.476676515355,55.9584564419375,120.870265914585,"&#128721;","&#128721;","&#128721;","&#128721;"
"Zutphen","GM0301",2022-08-18,21587,21586,21569,21566,21532,1530,1530,2021-01-01,20057,1,18,55,-51.3513513513513,"&#x2798;&#x2798;",48322,2.06945076776623,37.2501138197922,113.819792227143,"&#128721;","&#128721;","&#128721;","&#128721;"
"Nunspeet","GM0302",2022-08-18,13427,13426,13413,13412,13398,1134,1134,2021-01-01,12293,1,14,29,-6.66666666666667,"&#x2798;",28233,3.54195445046577,49.5873623065207,102.716679063507,"&#128721;","&#128721;","&#128721;","&#128721;"
"Dronten","GM0303",2022-08-18,18650,18650,18626,18624,18604,1584,1584,2021-01-01,17066,0,24,46,9.09090909090908,"&#x279A;",43026,0,55.7802259099149,106.91209966067,"&#128721;","&#128721;","&#128721;","&#128721;"
"Amersfoort","GM0307",2022-08-18,82391,82390,82287,82271,82122,7690,7690,2021-01-01,74701,1,104,269,-36.969696969697,"&#x2798;",158836,0.629580195925357,65.4763403762371,169.357072703921,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Baarn","GM0308",2022-08-18,11505,11505,11495,11493,11473,1128,1128,2021-01-01,10377,0,10,32,-54.5454545454545,"&#x2798;&#x2798;",24881,0,40.1913106386399,128.612194043648,"&#128721;","&#128721;","&#128721;","&#128721;"
"De Bilt","GM0310",2022-08-18,19747,19747,19727,19723,19703,1982,1982,2021-01-01,17765,0,20,44,-16.6666666666667,"&#x2798;",43486,0,45.9918134572046,101.18198960585,"&#128721;","&#128721;","&#128721;","&#128721;"
"Bunnik","GM0312",2022-08-18,7077,7077,7069,7068,7056,622,622,2021-01-01,6455,0,8,21,-38.4615384615385,"&#x2798;",15684,0,51.0073960724305,133.89441469013,"&#128721;","&#128721;","&#128721;","&#128721;"
"Bunschoten","GM0313",2022-08-18,12969,12969,12956,12954,12950,2381,2381,2021-01-01,10588,0,13,19,116.666666666667,"&#x279A;&#x279A;",22323,0,58.2359001926264,85.1140079738386,"&#128721;","&#128721;","&#128721;","&#128999;"
"Eemnes","GM0317",2022-08-18,4617,4617,4613,4611,4604,441,441,2021-01-01,4176,0,4,13,-55.5555555555556,"&#x2798;&#x2798;",9462,0,42.2743606002959,137.391671950962,"&#128721;","&#128721;","&#128721;","&#128721;"
"Houten","GM0321",2022-08-18,24907,24905,24857,24846,24801,2177,2177,2021-01-01,22730,2,50,106,-10.7142857142857,"&#x2798;",50305,3.97574793758076,99.3936984395189,210.71464069178,"&#128721;","&#128721;","&#x1F7E3;","&#x1F7E3;"
"Leusden","GM0327",2022-08-18,15212,15211,15197,15194,15157,1249,1249,2021-01-01,13963,1,15,55,-62.5,"&#x2798;&#x2798;",30756,3.25139810118351,48.7709715177526,178.826895565093,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Lopik","GM0331",2022-08-18,6904,6904,6901,6898,6892,723,723,2021-01-01,6181,0,3,12,-66.6666666666667,"&#x2798;&#x2798;",14540,0,20.6327372764787,82.5309491059147,"&#128999;","&#128999;","&#128721;","&#128721;"
