"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d","color","color_incl_new","color_yesterday","color_lastweek"
"Son en Breugel","GM0848",2022-08-18,8272,8272,8269,8268,8260,664,664,2021-01-01,7608,0,3,12,-66.6666666666667,"&#x2798;&#x2798;",17812,0,16.8425780372782,67.3703121491129,"&#128999;","&#128999;","&#128999;","&#128721;"
"Steenbergen","GM0851",2022-08-18,10871,10871,10861,10859,10845,1043,1043,2021-01-01,9828,0,10,26,-37.5,"&#x2798;",24328,0,41.1048997040447,106.872739230516,"&#128721;","&#128721;","&#128721;","&#128721;"
"Waterland","GM0852",2022-08-18,8043,8043,8035,8034,8019,876,876,2021-01-01,7167,0,8,24,-50,"&#x2798;&#x2798;",17347,0,46.1174842912319,138.352452873696,"&#128721;","&#128721;","&#128721;","&#128721;"
"Tilburg","GM0855",2022-08-18,112850,112849,112706,112679,112445,11117,11117,2021-01-01,101733,1,144,405,-44.8275862068966,"&#x2798;",225050,0.444345700955343,63.9857809375694,179.960008886914,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Valkenswaard","GM0858",2022-08-18,14859,14858,14839,14838,14815,1657,1657,2021-01-01,13202,1,20,44,-16.6666666666667,"&#x2798;",31275,3.19744204636291,63.9488409272582,140.687450039968,"&#128721;","&#128721;","&#128721;","&#128721;"
"Veldhoven","GM0861",2022-08-18,22078,22075,22051,22050,22013,2229,2229,2021-01-01,19849,3,27,65,-28.9473684210526,"&#x2798;",45888,6.53765690376569,58.8389121338912,141.649232914923,"&#128721;","&#128721;","&#128721;","&#128721;"
"Vught","GM0865",2022-08-18,16022,16022,16001,15993,15975,1522,1522,2021-01-01,14500,0,21,47,-19.2307692307692,"&#x2798;",31853,0,65.9278560889084,147.552820770414,"&#128721;","&#128721;","&#128721;","&#128721;"
"Waalre","GM0866",2022-08-18,8283,8283,8271,8269,8258,762,762,2021-01-01,7521,0,12,25,-7.69230769230769,"&#x2798;",17727,0,67.6933491284481,141.027810684267,"&#128721;","&#128721;","&#128721;","&#128721;"
"Waalwijk","GM0867",2022-08-18,23077,23077,23051,23044,23013,2705,2705,2021-01-01,20372,0,26,64,-31.5789473684211,"&#x2798;",49357,0,52.6774317725956,129.667524363312,"&#128721;","&#128721;","&#128721;","&#128721;"
"Woensdrecht","GM0873",2022-08-18,8920,8920,8911,8909,8885,863,863,2021-01-01,8057,0,9,35,-65.3846153846154,"&#x2798;&#x2798;",22099,0,40.7258246979501,158.378207158695,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Zundert","GM0879",2022-08-18,9350,9350,9338,9332,9316,914,914,2021-01-01,8436,0,12,34,-45.4545454545455,"&#x2798;",22202,0,54.0491847581299,153.139356814701,"&#128721;","&#128721;","&#128721;","&#128721;"
"Wormerland","GM0880",2022-08-18,7313,7312,7311,7308,7294,714,714,2021-01-01,6599,1,2,19,-88.2352941176471,"&#x2798;&#x2798;",16374,6.10724319042384,12.2144863808477,116.037620618053,"&#128999;","&#128999;","&#128999;","&#x1F7E3;"
"Landgraaf","GM0882",2022-08-18,17787,17787,17764,17760,17732,1357,1357,2021-01-01,16430,0,23,55,-28.125,"&#x2798;",37026,0,62.1185113163723,148.544266191325,"&#128721;","&#128721;","&#128721;","&#128721;"
"Beek","GM0888",2022-08-18,7918,7917,7909,7907,7880,633,633,2021-01-01,7285,1,9,38,-68.9655172413793,"&#x2798;&#x2798;",15809,6.32551078499589,56.929597064963,240.369409829844,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Beesel","GM0889",2022-08-18,6529,6529,6524,6521,6517,527,527,2021-01-01,6002,0,5,12,-28.5714285714286,"&#x2798;",13396,0,37.3245744998507,89.5789787996417,"&#128721;","&#128721;","&#128721;","&#128721;"
"Bergen (L.)","GM0893",2022-08-18,6735,6735,6729,6728,6718,673,673,2021-01-01,6062,0,6,17,-45.4545454545455,"&#x2798;",13079,0,45.8750669011392,129.979356219894,"&#128721;","&#128721;","&#128721;","&#128721;"
"Brunssum","GM0899",2022-08-18,13611,13609,13593,13590,13569,1087,1087,2021-01-01,12524,2,18,42,-25,"&#x2798;",27684,7.22438953908395,65.0195058517555,151.712180320763,"&#128721;","&#128721;","&#128721;","&#128721;"
"Gennep","GM0907",2022-08-18,9122,9122,9102,9100,9076,937,937,2021-01-01,8185,0,20,46,-23.0769230769231,"&#x2798;",17199,0,116.285830571545,267.457410314553,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Heerlen","GM0917",2022-08-18,39915,39915,39848,39843,39772,3028,3028,2021-01-01,36887,0,67,143,-11.8421052631579,"&#x2798;",86900,0,77.1001150747986,164.556962025316,"&#128721;","&#128721;","&#128721;","&#128721;"
"Kerkrade","GM0928",2022-08-18,19914,19913,19881,19874,19839,1421,1421,2021-01-01,18493,1,33,75,-21.4285714285714,"&#x2798;",45255,2.20970058557065,72.9201193238316,165.727543917799,"&#128721;","&#128721;","&#128721;","&#128721;"
"Maastricht","GM0935",2022-08-18,56596,56589,56504,56497,56403,4836,4836,2021-01-01,51760,7,92,193,-8.91089108910891,"&#x2798;",120922,5.78885562594069,76.0821025123633,159.607019400936,"&#128721;","&#128721;","&#128721;","&#128721;"
"Meerssen","GM0938",2022-08-18,9167,9166,9153,9150,9135,682,682,2021-01-01,8485,1,14,32,-22.2222222222222,"&#x2798;",18541,5.3934523488485,75.508332883879,172.590475163152,"&#128721;","&#128721;","&#128721;","&#128721;"
"Mook en Middelaar","GM0944",2022-08-18,3641,3641,3633,3633,3616,354,354,2021-01-01,3287,0,8,25,-52.9411764705882,"&#x2798;&#x2798;",8000,0,100,312.5,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Nederweert","GM0946",2022-08-18,8876,8876,8869,8868,8855,1046,1046,2021-01-01,7830,0,7,21,-50,"&#x2798;&#x2798;",17339,0,40.371417036738,121.114251110214,"&#128721;","&#128721;","&#128721;","&#128721;"
"Roermond","GM0957",2022-08-18,27872,27872,27817,27810,27755,2299,2299,2021-01-01,25573,0,55,117,-11.2903225806452,"&#x2798;",59150,0,92.9839391377853,197.802197802198,"&#128721;","&#128721;","&#x1F7E3;","&#x1F7E3;"
"Simpelveld","GM0965",2022-08-18,4755,4755,4746,4746,4737,417,417,2021-01-01,4338,0,9,18,0,"-",10420,0,86.3723608445298,172.74472168906,"&#128721;","&#128721;","&#128721;","&#128721;"
"Stein","GM0971",2022-08-18,12279,12279,12263,12259,12242,933,933,2021-01-01,11346,0,16,37,-23.8095238095238,"&#x2798;",24817,0,64.4719345609864,149.091348672281,"&#128721;","&#128721;","&#128721;","&#128721;"
"Vaals","GM0981",2022-08-18,3466,3466,3453,3452,3445,257,257,2021-01-01,3209,0,13,21,62.5,"&#x279A;",10084,0,128.917096390321,208.250694168981,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#128721;"
"Venlo","GM0983",2022-08-18,53301,53301,53235,53221,53131,5239,5239,2021-01-01,48062,0,66,170,-36.5384615384615,"&#x2798;",102182,0,64.59063240101,166.369810729874,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Venray","GM0984",2022-08-18,23544,23544,23505,23504,23487,2743,2743,2021-01-01,20801,0,39,57,116.666666666667,"&#x279A;&#x279A;",44001,0,88.6343492193359,129.542510397491,"&#128721;","&#128721;","&#128721;","&#128721;"
"Voerendaal","GM0986",2022-08-18,6045,6044,6030,6030,6023,407,407,2021-01-01,5638,1,15,22,114.285714285714,"&#x279A;&#x279A;",12403,8.06256550834476,120.938482625171,177.376441183585,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#128721;"
"Weert","GM0988",2022-08-18,25238,25238,25218,25215,25184,3334,3334,2021-01-01,21904,0,20,54,-41.1764705882353,"&#x2798;",50356,0,39.717213440305,107.236476288824,"&#128721;","&#128721;","&#128721;","&#128721;"
"Valkenburg aan de Geul","GM0994",2022-08-18,7285,7285,7268,7266,7248,622,622,2021-01-01,6663,0,17,37,-15,"&#x2798;",16149,0,105.269676140938,229.116353953805,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Lelystad","GM0995",2022-08-18,33966,33966,33933,33930,33884,3067,3067,2021-01-01,30899,0,33,82,-32.6530612244898,"&#x2798;",81341,0,40.569946275556,100.8101695332,"&#128721;","&#128721;","&#128721;","&#128721;"
"Horst aan de Maas","GM1507",2022-08-18,23556,23556,23537,23534,23502,2509,2509,2021-01-01,21047,0,19,54,-45.7142857142857,"&#x2798;",43080,0,44.1039925719591,125.348189415042,"&#128721;","&#128721;","&#128721;","&#128721;"
"Oude IJsselstreek","GM1509",2022-08-18,19149,19147,19109,19107,19082,1535,1535,2021-01-01,17614,2,40,67,48.1481481481481,"&#x279A;",39346,5.08310882936004,101.662176587201,170.284145783561,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#128721;"
"Teylingen","GM1525",2022-08-18,18407,18407,18392,18390,18373,1968,1968,2021-01-01,16439,0,15,34,-21.0526315789474,"&#x2798;",37949,0,39.5267332472529,89.5939286937732,"&#128721;","&#128721;","&#128721;","&#128721;"
"Utrechtse Heuvelrug","GM1581",2022-08-18,21990,21990,21967,21963,21941,2278,2278,2021-01-01,19712,0,23,49,-11.5384615384615,"&#x2798;",50003,0,45.9972401655901,97.9941203527788,"&#128721;","&#128721;","&#128721;","&#128721;"
"Oost Gelre","GM1586",2022-08-18,15448,15447,15433,15432,15422,1374,1374,2021-01-01,14074,1,15,26,36.3636363636364,"&#x279A;",29624,3.37564137186065,50.6346205779098,87.766675668377,"&#128721;","&#128721;","&#128721;","&#128721;"
"Koggenland","GM1598",2022-08-18,11014,11014,11005,11002,10987,890,890,2021-01-01,10124,0,9,27,-50,"&#x2798;&#x2798;",23030,0,39.0794615718628,117.238384715588,"&#128721;","&#128721;","&#128721;","&#128721;"
"Lansingerland","GM1621",2022-08-18,32352,32351,32325,32318,32269,3492,3492,2021-01-01,28860,1,27,83,-51.7857142857143,"&#x2798;&#x2798;",64167,1.55843346268331,42.0777034924494,129.349977402715,"&#128721;","&#128721;","&#128721;","&#128721;"
"Leudal","GM1640",2022-08-18,16366,16366,16342,16341,16320,1675,1675,2021-01-01,14691,0,24,46,9.09090909090908,"&#x279A;",35938,0,66.7816795592409,127.998219155212,"&#128721;","&#128721;","&#128721;","&#128721;"
"Maasgouw","GM1641",2022-08-18,11392,11391,11361,11356,11325,907,907,2021-01-01,10485,1,31,67,-13.8888888888889,"&#x2798;",24021,4.1630240206486,129.053744640107,278.922609383456,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Gemert-Bakel","GM1652",2022-08-18,14499,14499,14490,14489,14480,1304,1304,2021-01-01,13195,0,9,19,-10,"&#x2798;",31107,0,28.9323946378629,61.0794997910438,"&#128999;","&#128999;","&#128999;","&#128999;"
"Halderberge","GM1655",2022-08-18,14071,14071,14050,14045,14024,1417,1417,2021-01-01,12654,0,21,47,-19.2307692307692,"&#x2798;",30767,0,68.2549484837651,152.76107517795,"&#128721;","&#128721;","&#128721;","&#128721;"
"Heeze-Leende","GM1658",2022-08-18,7222,7221,7215,7213,7206,798,798,2021-01-01,6424,1,7,16,-22.2222222222222,"&#x2798;",16485,6.06612071580224,42.4628450106157,97.0579314528359,"&#128721;","&#128721;","&#128721;","&#128721;"
"Laarbeek","GM1659",2022-08-18,10779,10779,10775,10771,10764,1141,1141,2021-01-01,9638,0,4,15,-63.6363636363636,"&#x2798;&#x2798;",22952,0,17.4276751481352,65.3537818055071,"&#128999;","&#128999;","&#128999;","&#128721;"
"Reusel-De Mierden","GM1667",2022-08-18,6761,6761,6759,6757,6752,828,828,2021-01-01,5933,0,2,9,-71.4285714285714,"&#x2798;&#x2798;",13309,0,15.0274250507176,67.623412728229,"&#128999;","&#128999;","&#128999;","&#128721;"
"Roerdalen","GM1669",2022-08-18,9206,9206,9191,9189,9175,733,733,2021-01-01,8473,0,15,31,-6.25,"&#x2798;",20549,0,72.9962528590199,150.858922575308,"&#128721;","&#128721;","&#128721;","&#128721;"
"Roosendaal","GM1674",2022-08-18,36959,36957,36913,36907,36826,3933,3933,2021-01-01,33026,2,46,133,-47.1264367816092,"&#x2798;",77208,2.5904051393638,59.5793182053673,172.261941767692,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Schouwen-Duiveland","GM1676",2022-08-18,13945,13945,13929,13926,13900,832,832,2021-01-01,13113,0,16,45,-44.8275862068966,"&#x2798;",34175,0,46.8178493050475,131.675201170446,"&#128721;","&#128721;","&#128721;","&#128721;"
"Aa en Hunze","GM1680",2022-08-18,9816,9815,9808,9803,9793,583,583,2021-01-01,9233,1,8,23,-46.6666666666667,"&#x2798;",25563,3.91190392363964,31.2952313891171,89.9737902437116,"&#128999;","&#128999;","&#128721;","&#128721;"
"Borger-Odoorn","GM1681",2022-08-18,9683,9682,9658,9656,9645,710,710,2021-01-01,8973,1,25,38,92.3076923076923,"&#x279A;",25686,3.89317137740403,97.3292844351008,147.940512341353,"&#128721;","&#128721;","&#x1F7E3;","&#128721;"
"De Wolden","GM1690",2022-08-18,10789,10789,10782,10779,10770,738,738,2021-01-01,10051,0,7,19,-41.6666666666667,"&#x2798;",24485,0,28.5889319991832,77.5985297120686,"&#128999;","&#128999;","&#128721;","&#128721;"
"Noord-Beveland","GM1695",2022-08-18,2878,2878,2875,2873,2872,127,127,2021-01-01,2751,0,3,6,0,"-",7678,0,39.072675175827,78.1453503516541,"&#128721;","&#128721;","&#128721;","&#128721;"
"Wijdemeren","GM1696",2022-08-18,10972,10972,10961,10955,10942,961,961,2021-01-01,10011,0,11,30,-42.1052631578947,"&#x2798;",24536,0,44.8320834691881,122.269318552331,"&#128721;","&#128721;","&#128721;","&#128721;"
"Noordenveld","GM1699",2022-08-18,11930,11929,11916,11914,11897,499,499,2021-01-01,11431,1,14,33,-26.3157894736842,"&#x2798;",31280,3.19693094629156,44.7570332480818,105.498721227621,"&#128721;","&#128721;","&#128721;","&#128721;"
"Twenterand","GM1700",2022-08-18,17596,17596,17589,17587,17572,2241,2241,2021-01-01,15355,0,7,24,-58.8235294117647,"&#x2798;&#x2798;",33723,0,20.7573466180352,71.1680455475492,"&#128999;","&#128999;","&#128999;","&#128721;"
"Westerveld","GM1701",2022-08-18,6997,6997,6989,6986,6975,373,373,2021-01-01,6624,0,8,22,-42.8571428571429,"&#x2798;",19839,0,40.3246131357427,110.892686123293,"&#128721;","&#128721;","&#128721;","&#128721;"
"Lingewaard","GM1705",2022-08-18,23544,23543,23518,23516,23476,2043,2043,2021-01-01,21501,1,26,68,-38.0952380952381,"&#x2798;",46989,2.128157653919,55.3320990018941,144.714720466492,"&#128721;","&#128721;","&#128721;","&#128721;"
"Cranendonck","GM1706",2022-08-18,9820,9820,9818,9816,9805,1233,1233,2021-01-01,8587,0,2,15,-84.6153846153846,"&#x2798;&#x2798;",20632,0,9.69367972082202,72.7025979061652,"&#128999;","&#128999;","&#128999;","&#128721;"
"Steenwijkerland","GM1708",2022-08-18,19249,19245,19222,19216,19198,1239,1239,2021-01-01,18010,4,27,51,12.5,"&#x279A;",44785,8.93156190688847,60.2880428714971,113.877414312828,"&#128721;","&#128721;","&#128721;","&#128721;"
"Moerdijk","GM1709",2022-08-18,16921,16921,16898,16896,16875,1566,1566,2021-01-01,15355,0,23,46,0,"-",37312,0,61.6423670668954,123.284734133791,"&#128721;","&#128721;","&#128721;","&#128721;"
"Echt-Susteren","GM1711",2022-08-18,15216,15216,15197,15193,15165,1064,1064,2021-01-01,14152,0,19,51,-40.625,"&#x2798;",31777,0,59.7916732227712,160.493438650596,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Sluis","GM1714",2022-08-18,8206,8206,8186,8182,8163,820,820,2021-01-01,7386,0,20,43,-13.0434782608696,"&#x2798;",23145,0,86.4117519982718,185.785266796284,"&#128721;","&#128721;","&#x1F7E3;","&#128721;"
"Drimmelen","GM1719",2022-08-18,12497,12497,12485,12485,12470,1217,1217,2021-01-01,11280,0,12,27,-20,"&#x2798;",27581,0,43.508212175048,97.8934773938581,"&#128721;","&#128721;","&#128721;","&#128721;"
"Bernheze","GM1721",2022-08-18,16769,16769,16762,16760,16748,1605,1605,2021-01-01,15164,0,7,21,-50,"&#x2798;&#x2798;",31785,0,22.0229668082429,66.0689004247286,"&#128999;","&#128999;","&#128999;","&#128721;"
"Alphen-Chaam","GM1723",2022-08-18,4525,4525,4518,4517,4516,450,450,2021-01-01,4075,0,7,9,250,"&#x279A;&#x279A;",10444,0,67.0241286863271,86.1738797395634,"&#128721;","&#128721;","&#128721;","&#128999;"
"Bergeijk","GM1724",2022-08-18,9707,9707,9702,9701,9696,1193,1193,2021-01-01,8514,0,5,11,-16.6666666666667,"&#x2798;",18869,0,26.4984895860936,58.2966770894059,"&#128999;","&#128999;","&#128999;","&#128999;"
"Bladel","GM1728",2022-08-18,10831,10831,10820,10820,10812,1444,1444,2021-01-01,9387,0,11,19,37.5,"&#x279A;",20737,0,53.0452813811062,91.6236678400926,"&#128721;","&#128721;","&#128721;","&#128721;"
"Gulpen-Wittem","GM1729",2022-08-18,6240,6240,6231,6230,6216,564,564,2021-01-01,5676,0,9,24,-40,"&#x2798;",14161,0,63.5548336981852,169.479556528494,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Tynaarlo","GM1730",2022-08-18,13668,13666,13660,13657,13645,637,637,2021-01-01,13031,2,8,23,-46.6666666666667,"&#x2798;",34330,5.82580833090591,23.3032333236237,66.996795805418,"&#128999;","&#128999;","&#128999;","&#128721;"
"Midden-Drenthe","GM1731",2022-08-18,13509,13509,13500,13497,13487,813,813,2021-01-01,12696,0,9,22,-30.7692307692308,"&#x2798;",33729,0,26.6832695899671,65.2257701088084,"&#128999;","&#128999;","&#128721;","&#128721;"
"Overbetuwe","GM1734",2022-08-18,23455,23453,23432,23430,23392,1708,1708,2021-01-01,21747,2,23,63,-42.5,"&#x2798;",48233,4.14653867683951,47.6851947836543,130.615968320445,"&#128721;","&#128721;","&#128721;","&#128721;"
"Hof van Twente","GM1735",2022-08-18,17713,17713,17704,17702,17694,1759,1759,2021-01-01,15954,0,9,19,-10,"&#x2798;",35104,0,25.6381039197812,54.1248860528715,"&#128999;","&#128999;","&#128999;","&#128999;"
"Neder-Betuwe","GM1740",2022-08-18,13210,13210,13200,13200,13182,1428,1428,2021-01-01,11782,0,10,28,-44.4444444444444,"&#x2798;",25050,0,39.9201596806387,111.776447105788,"&#128721;","&#128721;","&#128721;","&#128721;"
"Rijssen-Holten","GM1742",2022-08-18,22103,22103,22088,22086,22071,2435,2435,2021-01-01,19668,0,15,32,-11.7647058823529,"&#x2798;",38261,0,39.2044118031416,83.6360785133687,"&#128721;","&#128721;","&#128721;","&#128721;"
"Geldrop-Mierlo","GM1771",2022-08-18,19014,19014,18989,18983,18967,1890,1890,2021-01-01,17124,0,25,47,13.6363636363636,"&#x279A;",40174,0,62.2293025339772,116.991088763877,"&#128721;","&#128721;","&#128721;","&#128721;"
"Olst-Wijhe","GM1773",2022-08-18,8415,8415,8406,8400,8389,540,540,2021-01-01,7875,0,9,26,-47.0588235294118,"&#x2798;",18534,0,48.5594043379735,140.282723643034,"&#128721;","&#128721;","&#128721;","&#128721;"
"Dinkelland","GM1774",2022-08-18,13336,13336,13332,13328,13318,1707,1707,2021-01-01,11629,0,4,18,-71.4285714285714,"&#x2798;&#x2798;",26594,0,15.0409866887268,67.6844400992705,"&#128999;","&#128999;","&#128999;","&#128721;"
"Westland","GM1783",2022-08-18,56673,56673,56626,56617,56569,6827,6827,2021-01-01,49846,0,47,104,-17.5438596491228,"&#x2798;",112616,0,41.7347446188819,92.3492221353982,"&#128721;","&#128721;","&#128721;","&#128721;"
"Midden-Delfland","GM1842",2022-08-18,9593,9593,9585,9581,9571,1034,1034,2021-01-01,8559,0,8,22,-42.8571428571429,"&#x2798;",19466,0,41.0972978526662,113.017569094832,"&#128721;","&#128721;","&#128721;","&#128721;"
"Berkelland","GM1859",2022-08-18,20279,20278,20268,20268,20237,1870,1870,2021-01-01,18409,1,11,42,-64.5161290322581,"&#x2798;&#x2798;",43790,2.28362639872117,25.1198903859329,95.9123087462891,"&#128999;","&#128999;","&#128999;","&#128721;"
"Bronckhorst","GM1876",2022-08-18,16596,16596,16584,16583,16561,1458,1458,2021-01-01,15138,0,12,35,-47.8260869565217,"&#x2798;",36110,0,33.2317917474384,96.9260592633619,"&#128999;","&#128999;","&#128721;","&#128721;"
"Sittard-Geleen","GM1883",2022-08-18,44379,44379,44329,44321,44266,3312,3312,2021-01-01,41067,0,50,113,-20.6349206349206,"&#x2798;",91724,0,54.5113601674589,123.195673978457,"&#128721;","&#128721;","&#128721;","&#128721;"
"Kaag en Braassem","GM1884",2022-08-18,12620,12620,12607,12606,12597,1174,1174,2021-01-01,11446,0,13,23,30,"&#x279A;",27916,0,46.5682762573435,82.3900272245307,"&#128721;","&#128721;","&#128721;","&#128721;"
"Dantumadiel","GM1891",2022-08-18,9006,9006,8999,8996,8989,511,511,2021-01-01,8495,0,7,17,-30,"&#x2798;",18958,0,36.9237261314485,89.671906319232,"&#128721;","&#128721;","&#128721;","&#128721;"
"Zuidplas","GM1892",2022-08-18,22027,22027,21993,21992,21969,2311,2311,2021-01-01,19716,0,34,58,41.6666666666667,"&#x279A;",45877,0,74.1112104104453,126.425005994289,"&#128721;","&#128721;","&#128721;","&#128721;"
"Peel en Maas","GM1894",2022-08-18,21447,21447,21430,21429,21409,1964,1964,2021-01-01,19483,0,17,38,-19.047619047619,"&#x2798;",44374,0,38.3107224951548,85.6357326362284,"&#128721;","&#128721;","&#128721;","&#128721;"
"Oldambt","GM1895",2022-08-18,15067,15066,15050,15050,15031,871,871,2021-01-01,14196,1,17,36,-10.5263157894737,"&#x2798;",38531,2.59531286496587,44.1203187044198,93.4312631387714,"&#128721;","&#128721;","&#128721;","&#128721;"
"Zwartewaterland","GM1896",2022-08-18,12132,12130,12121,12118,12112,885,885,2021-01-01,11247,2,11,20,22.2222222222222,"&#x279A;",23039,8.68093233213247,47.7451278267286,86.8093233213247,"&#128721;","&#128721;","&#128721;","&#128721;"
"Súdwest-Fryslân","GM1900",2022-08-18,39643,39640,39546,39540,39506,3002,3002,2021-01-01,36641,3,97,137,142.5,"&#x279A;&#x279A;",90307,3.32200161670745,107.411385606874,151.704740496307,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#128721;"
"Bodegraven-Reeuwijk","GM1901",2022-08-18,17797,17797,17774,17769,17744,1931,1931,2021-01-01,15866,0,23,53,-23.3333333333333,"&#x2798;",35818,0,64.2135239265174,147.970294265453,"&#128721;","&#128721;","&#128721;","&#128721;"
"Eijsden-Margraten","GM1903",2022-08-18,12667,12667,12657,12657,12642,1082,1082,2021-01-01,11585,0,10,25,-33.3333333333333,"&#x2798;",25847,0,38.6892095794483,96.7230239486207,"&#128721;","&#128721;","&#128721;","&#128721;"
"Stichtse Vecht","GM1904",2022-08-18,30343,30343,30320,30316,30289,2968,2968,2021-01-01,27375,0,23,54,-25.8064516129032,"&#x2798;",65190,0,35.2814848903206,82.8347906120571,"&#128721;","&#128721;","&#128721;","&#128721;"
"Hollands Kroon","GM1911",2022-08-18,20272,20271,20248,20245,20212,1582,1582,2021-01-01,18690,1,24,60,-33.3333333333333,"&#x2798;",48755,2.05107168495539,49.2257204389293,123.064301097323,"&#128721;","&#128721;","&#128721;","&#128721;"
"Leidschendam-Voorburg","GM1916",2022-08-18,33149,33149,33111,33107,33044,3520,3520,2021-01-01,29629,0,38,105,-43.2835820895522,"&#x2798;",76727,0,49.5262423918568,136.84882766171,"&#128721;","&#128721;","&#128721;","&#128721;"
"Goeree-Overflakkee","GM1924",2022-08-18,22974,22974,22941,22934,22904,2265,2265,2021-01-01,20709,0,33,70,-10.8108108108108,"&#x2798;",51042,0,64.6526390031739,137.141961521884,"&#128721;","&#128721;","&#128721;","&#128721;"
"Pijnacker-Nootdorp","GM1926",2022-08-18,28290,28290,28258,28255,28223,2922,2922,2021-01-01,25368,0,32,67,-8.57142857142857,"&#x2798;",56701,0,56.4363944198515,118.163700816564,"&#128721;","&#128721;","&#128721;","&#128721;"
"Nissewaard","GM1930",2022-08-18,38040,38040,37992,37984,37926,4401,4401,2021-01-01,33639,0,48,114,-27.2727272727273,"&#x2798;",86306,0,55.6160637730865,132.08815146108,"&#128721;","&#128721;","&#128721;","&#128721;"
"Krimpenerwaard","GM1931",2022-08-18,26169,26168,26155,26152,26137,2936,2936,2021-01-01,23233,1,14,32,-22.2222222222222,"&#x2798;",57151,1.74975066053087,24.4965092474322,55.992021136988,"&#128999;","&#128999;","&#128999;","&#128999;"
"De Fryske Marren","GM1940",2022-08-18,23228,23228,23192,23184,23158,1179,1179,2021-01-01,22049,0,36,70,5.88235294117647,"&#x279A;",51682,0,69.6567470299137,135.443674780388,"&#128721;","&#128721;","&#128721;","&#128721;"
"Gooise Meren","GM1942",2022-08-18,28702,28700,28669,28663,28639,2478,2478,2021-01-01,26224,2,33,63,10,"&#x279A;",58973,3.39138249707493,55.9578112017364,106.82854865786,"&#128721;","&#128721;","&#128721;","&#128721;"
"Berg en Dal","GM1945",2022-08-18,16798,16798,16777,16764,16730,1635,1635,2021-01-01,15163,0,21,68,-55.3191489361702,"&#x2798;&#x2798;",34979,0,60.0360216129678,194.402355699134,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Meierijstad","GM1948",2022-08-18,39343,39342,39310,39297,39261,3791,3791,2021-01-01,35552,1,33,82,-32.6530612244898,"&#x2798;",82681,1.20946771325939,39.91243453756,99.1763524872703,"&#128721;","&#128721;","&#128721;","&#128721;"
"Waadhoeke","GM1949",2022-08-18,18646,18645,18631,18630,18605,1089,1089,2021-01-01,17557,1,15,41,-42.3076923076923,"&#x2798;",46399,2.15521886247548,32.3282829371323,88.3639733614949,"&#128999;","&#128999;","&#128999;","&#128721;"
"Westerwolde","GM1950",2022-08-18,11121,11118,11106,11105,11091,797,797,2021-01-01,10324,3,15,30,0,"-",26657,11.2540796038564,56.270398019282,112.540796038564,"&#128721;","&#128721;","&#128721;","&#128721;"
"Midden-Groningen","GM1952",2022-08-18,24442,24441,24423,24414,24379,1350,1350,2021-01-01,23092,1,19,63,-56.8181818181818,"&#x2798;&#x2798;",60897,1.64211701725865,31.2002233279143,103.453372087295,"&#128999;","&#128999;","&#128721;","&#128721;"
"Beekdaelen","GM1954",2022-08-18,17569,17569,17545,17542,17524,1352,1352,2021-01-01,16217,0,24,45,14.2857142857143,"&#x279A;",35931,0,66.7946898221591,125.240043416548,"&#128721;","&#128721;","&#128721;","&#128721;"
"Montferland","GM1955",2022-08-18,17100,17099,17083,17078,17046,1340,1340,2021-01-01,15760,1,17,54,-54.0540540540541,"&#x2798;&#x2798;",36365,2.74989687886704,46.7482469407397,148.49443145882,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Altena","GM1959",2022-08-18,27494,27493,27467,27464,27438,3696,3696,2021-01-01,23798,1,27,56,-6.89655172413793,"&#x2798;",57056,1.75266404935502,47.3219293325855,98.1491867638811,"&#128721;","&#128721;","&#128721;","&#128721;"
"West Betuwe","GM1960",2022-08-18,25230,25230,25206,25201,25170,2659,2659,2021-01-01,22571,0,24,60,-33.3333333333333,"&#x2798;",52009,0,46.1458593704936,115.364648426234,"&#128721;","&#128721;","&#128721;","&#128721;"
