"municipality","Municipality_code","date","population","cases_d0","cases_d7","cases_d14","rel_cases_7d","rel_cases_14d","rel_cases_total","color","hosp_d0","hosp_d7","hosp_d14","rel_hosp_7d","rel_hosp_14d","rel_hosp_total","deaths_d0","deaths_d7","deaths_d14","rel_deaths_7d","rel_deaths_14d","rel_deaths_total","perc_cases","perc_hosp","perc_deaths","perc_deaths_per_case"
"Unknown","",2022-02-09,NA,46743,33076,27317,NA,NA,NA,NA,94050,92999,91694,NA,NA,NA,44,42,42,NA,NA,NA,NA,NA,NA,0.1
"Utrechtse Heuvelrug","GM1581",2022-02-09,49994,13516,11272,9918,4488.5,7196.9,27035.2,"&#x26a1;",205,202,202,6,6,410,88,87,87,2,2,176,27,0.4,0.2,0.7
"Oost Gelre","GM1586",2022-02-09,29641,8792,7396,6535,4709.7,7614.5,29661.6,"&#x26a1;",122,122,120,0,6.7,411.6,49,49,49,0,0,165.3,29.7,0.4,0.2,0.6
"Koggenland","GM1598",2022-02-09,23029,7544,6405,5657,4945.9,8194,32758.7,"&#x26a1;",97,97,94,0,13,421.2,24,24,24,0,0,104.2,32.8,0.4,0.1,0.3
"Lansingerland","GM1621",2022-02-09,64096,21813,18901,16469,4543.2,8337.5,34031.8,"&#x1F7E3;",277,276,274,1.6,4.7,432.2,72,72,72,0,0,112.3,34,0.4,0.1,0.3
"Leudal","GM1640",2022-02-09,35957,10774,9484,8569,3587.6,6132.3,29963.6,"&#x26a1;",220,216,212,11.1,22.2,611.8,59,59,59,0,0,164.1,30,0.6,0.2,0.5
"Maasgouw","GM1641",2022-02-09,24026,7225,6322,5769,3758.4,6060.1,30071.6,"&#x26a1;",175,172,168,12.5,29.1,728.4,44,44,44,0,0,183.1,30.1,0.7,0.2,0.6
"Gemert-Bakel","GM1652",2022-02-09,31047,9118,7627,6525,4802.4,8351.9,29368.4,"&#x26a1;",213,212,211,3.2,6.4,686.1,44,44,44,0,0,141.7,29.4,0.7,0.1,0.5
"Halderberge","GM1655",2022-02-09,30782,9462,7787,6654,5441.5,9122.2,30738.7,"&#x26a1;",189,185,181,13,26,614,31,31,31,0,0,100.7,30.7,0.6,0.1,0.3
"Heeze-Leende","GM1658",2022-02-09,16475,4364,3740,3204,3787.6,7041,26488.6,"&#9989;",86,86,86,0,0,522,13,13,13,0,0,78.9,26.5,0.5,0.1,0.3
"Laarbeek","GM1659",2022-02-09,22965,6735,5649,4728,4728.9,8739.4,29327.2,"&#x26a1;",157,156,156,4.4,4.4,683.6,45,45,45,0,0,196,29.3,0.7,0.2,0.7
"Reusel-De Mierden","GM1667",2022-02-09,13260,4441,3676,3157,5769.2,9683.3,33491.7,"&#9989;",80,80,80,0,0,603.3,14,14,14,0,0,105.6,33.5,0.6,0.1,0.3
"Roerdalen","GM1669",2022-02-09,20585,5821,4958,4493,4192.4,6451.3,28277.9,"&#x26a1;",141,140,138,4.9,14.6,685,40,40,40,0,0,194.3,28.3,0.7,0.2,0.7
"Roosendaal","GM1674",2022-02-09,77272,24587,20881,18153,4796,8326.4,31818.8,"&#x26a1;",467,460,455,9.1,15.5,604.4,88,88,88,0,0,113.9,31.8,0.6,0.1,0.4
"Schouwen-Duiveland","GM1676",2022-02-09,34173,8680,7302,6403,4032.4,6663.2,25400.2,"&#x26a1;",140,136,134,11.7,17.6,409.7,40,40,39,0,2.9,117.1,25.4,0.4,0.1,0.5
"Aa en Hunze","GM1680",2022-02-09,25570,4844,4029,3699,3187.3,4477.9,18944.1,"&#x26a1;",46,45,45,3.9,3.9,179.9,23,23,23,0,0,89.9,18.9,0.2,0.1,0.5
"Borger-Odoorn","GM1681",2022-02-09,25685,5253,4229,3766,3986.8,5789.4,20451.6,"&#x26a1;",92,91,88,3.9,15.6,358.2,27,27,23,0,15.6,105.1,20.5,0.4,0.1,0.5
"De Wolden","GM1690",2022-02-09,24529,6359,5145,4618,4949.2,7097.7,25924.4,"&#x26a1;",93,91,89,8.2,16.3,379.1,32,32,32,0,0,130.5,25.9,0.4,0.1,0.5
"Noord-Beveland","GM1695",2022-02-09,7671,1724,1458,1300,3467.6,5527.3,22474.3,"&#9989;",33,33,33,0,0,430.2,12,12,12,0,0,156.4,22.5,0.4,0.2,0.7
"Wijdemeren","GM1696",2022-02-09,24497,7460,6253,5367,4927.1,8543.9,30452.7,"&#x26a1;",79,77,76,8.2,12.2,322.5,24,24,24,0,0,98,30.5,0.3,0.1,0.3
"Noordenveld","GM1699",2022-02-09,31233,5969,4934,4488,3313.8,4741.8,19111.2,"&#x1F7E3;",89,89,88,0,3.2,285,27,27,27,0,0,86.4,19.1,0.3,0.1,0.5
"Twenterand","GM1700",2022-02-09,33697,11686,10196,8989,4421.8,8003.7,34679.6,"&#128721;",230,230,229,0,3,682.6,36,36,36,0,0,106.8,34.7,0.7,0.1,0.3
"Westerveld","GM1701",2022-02-09,19841,3617,2954,2638,3341.6,4934.2,18229.9,"&#x1F7E3;",43,43,42,0,5,216.7,24,24,24,0,0,121,18.2,0.2,0.1,0.7
"Lingewaard","GM1705",2022-02-09,46973,13445,10124,9574,7070,8240.9,28622.8,"&#x26a1;",211,208,207,6.4,8.5,449.2,54,54,54,0,0,115,28.6,0.4,0.1,0.4
"Cranendonck","GM1706",2022-02-09,20647,6816,5875,5014,4557.6,8727.7,33012.1,"&#x26a1;",146,145,143,4.8,14.5,707.1,60,60,59,0,4.8,290.6,33,0.7,0.3,0.9
"Steenwijkerland","GM1708",2022-02-09,44710,10436,8446,7656,4450.9,6217.8,23341.5,"&#x26a1;",130,128,128,4.5,4.5,290.8,30,30,30,0,0,67.1,23.3,0.3,0.1,0.3
"Moerdijk","GM1709",2022-02-09,37304,10830,9199,7931,4372.2,7771.3,29031.7,"&#x26a1;",209,205,202,10.7,18.8,560.3,54,54,54,0,0,144.8,29,0.6,0.1,0.5
"Echt-Susteren","GM1711",2022-02-09,31746,9631,8257,7364,4328.1,7141.1,30337.7,"&#x26a1;",190,189,186,3.2,12.6,598.5,45,45,45,0,0,141.8,30.3,0.6,0.1,0.5
"Sluis","GM1714",2022-02-09,23168,5124,4668,4243,1968.2,3802.7,22116.7,"&#x26a1;",104,102,101,8.6,12.9,448.9,26,26,26,0,0,112.2,22.1,0.4,0.1,0.5
"Drimmelen","GM1719",2022-02-09,27445,8238,7048,6045,4335.9,7990.5,30016.4,"&#x26a1;",147,146,145,3.6,7.3,535.6,32,32,32,0,0,116.6,30,0.5,0.1,0.4
"Bernheze","GM1721",2022-02-09,31677,10979,8753,8017,7027.2,9350.6,34659.2,"&#9989;",210,210,210,0,0,662.9,82,82,82,0,0,258.9,34.7,0.7,0.3,0.7
"Alphen-Chaam","GM1723",2022-02-09,10427,2990,2463,2157,5054.2,7988.9,28675.6,"&#9989;",63,63,63,0,0,604.2,5,5,5,0,0,48,28.7,0.6,0,0.2
"Bergeijk","GM1724",2022-02-09,18879,6366,5453,4583,4836.1,9444.4,33720,"&#x26a1;",134,134,132,0,10.6,709.8,15,15,15,0,0,79.5,33.7,0.7,0.1,0.2
"Bladel","GM1728",2022-02-09,20713,7030,6133,5255,4330.6,8569.5,33940,"&#x26a1;",131,130,129,4.8,9.7,632.5,33,33,33,0,0,159.3,33.9,0.6,0.2,0.5
"Gulpen-Wittem","GM1729",2022-02-09,14164,3756,3301,3012,3212.4,5252.8,26517.9,"&#9989;",66,66,66,0,0,466,22,22,21,0,7.1,155.3,26.5,0.5,0.2,0.6
"Tynaarlo","GM1730",2022-02-09,34207,6444,5054,4497,4063.5,5691.8,18838.2,"&#x26a1;",67,66,65,2.9,5.8,195.9,26,26,26,0,0,76,18.8,0.2,0.1,0.4
"Midden-Drenthe","GM1731",2022-02-09,33656,6578,5457,4912,3330.8,4950.1,19544.8,"&#x26a1;",98,97,97,3,3,291.2,32,32,32,0,0,95.1,19.5,0.3,0.1,0.5
"Overbetuwe","GM1734",2022-02-09,48309,13880,9651,9088,8754.1,9919.5,28731.7,"&#x1F7E3;",172,171,170,2.1,4.1,356,40,40,40,0,0,82.8,28.7,0.4,0.1,0.3
"Hof van Twente","GM1735",2022-02-09,35076,10698,9409,8390,3674.9,6580,30499.5,"&#x26a1;",169,167,166,5.7,8.6,481.8,39,39,39,0,0,111.2,30.5,0.5,0.1,0.4
"Neder-Betuwe","GM1740",2022-02-09,25017,9631,8451,7447,4716.8,8730.1,38497.8,"&#x26a1;",229,226,223,12,24,915.4,51,51,51,0,0,203.9,38.5,0.9,0.2,0.5
"Rijssen-Holten","GM1742",2022-02-09,38234,14311,12206,10979,5505.6,8714.8,37430,"&#x26a1;",275,271,269,10.5,15.7,719.3,68,68,68,0,0,177.9,37.4,0.7,0.2,0.5
"Geldrop-Mierlo","GM1771",2022-02-09,40153,12349,10509,8772,4582.5,8908.4,30754.9,"&#x26a1;",317,313,309,10,19.9,789.5,33,33,33,0,0,82.2,30.8,0.8,0.1,0.3
"Olst-Wijhe","GM1773",2022-02-09,18487,4519,3577,3179,5095.5,7248.3,24444.2,"&#x26a1;",47,46,46,5.4,5.4,254.2,10,10,10,0,0,54.1,24.4,0.3,0.1,0.2
"Dinkelland","GM1774",2022-02-09,26607,8994,8066,7263,3487.8,6505.8,33803.1,"&#9989;",121,121,121,0,0,454.8,38,38,38,0,0,142.8,33.8,0.5,0.1,0.4
"Westland","GM1783",2022-02-09,112587,40401,34858,30412,4923.3,8872.2,35884.2,"&#x26a1;",602,596,580,5.3,19.5,534.7,101,101,101,0,0,89.7,35.9,0.5,0.1,0.2
"Midden-Delfland","GM1842",2022-02-09,19525,6454,5521,4826,4778.5,8338,33055.1,"&#x26a1;",78,77,75,5.1,15.4,399.5,15,15,15,0,0,76.8,33.1,0.4,0.1,0.2
"Berkelland","GM1859",2022-02-09,43821,12178,10117,9043,4703.2,7154.1,27790.3,"&#x26a1;",187,186,184,2.3,6.8,426.7,58,58,58,0,0,132.4,27.8,0.4,0.1,0.5
"Bronckhorst","GM1876",2022-02-09,36062,9250,7982,7247,3516.2,5554.3,25650.3,"&#9989;",171,171,171,0,0,474.2,28,28,28,0,0,77.6,25.7,0.5,0.1,0.3
"Sittard-Geleen","GM1883",2022-02-09,91857,27789,24149,21174,3962.7,7201.4,30252.5,"&#x26a1;",496,490,489,6.5,7.6,540,171,171,171,0,0,186.2,30.3,0.5,0.2,0.6
"Kaag en Braassem","GM1884",2022-02-09,27883,8235,7047,6039,4260.7,7875.8,29534.1,"&#x26a1;",82,82,79,0,10.8,294.1,11,11,11,0,0,39.5,29.5,0.3,0,0.1
"Dantumadiel","GM1891",2022-02-09,18961,5877,4957,4475,4852.1,7394.1,30995.2,"&#x26a1;",115,115,113,0,10.5,606.5,27,27,26,0,5.3,142.4,31,0.6,0.1,0.5
"Zuidplas","GM1892",2022-02-09,45712,15386,13050,11363,5110.3,8800.8,33658.6,"&#x26a1;",280,280,277,0,6.6,612.5,51,51,51,0,0,111.6,33.7,0.6,0.1,0.3
"Peel en Maas","GM1894",2022-02-09,44300,13894,12051,10887,4160.3,6787.8,31363.4,"&#x26a1;",197,196,193,2.3,9,444.7,93,93,93,0,0,209.9,31.4,0.4,0.2,0.7
"Oldambt","GM1895",2022-02-09,38462,8351,7143,6235,3140.8,5501.5,21712.3,"&#x26a1;",204,202,201,5.2,7.8,530.4,40,40,40,0,0,104,21.7,0.5,0.1,0.5
"Zwartewaterland","GM1896",2022-02-09,23003,8200,6721,5929,6429.6,9872.6,35647.5,"&#x26a1;",105,103,102,8.7,13,456.5,35,35,35,0,0,152.2,35.6,0.5,0.2,0.4
"Súdwest-Fryslân","GM1900",2022-02-09,90222,24529,20420,18307,4554.3,6896.3,27187.4,"&#x26a1;",318,314,310,4.4,8.9,352.5,98,98,98,0,0,108.6,27.2,0.4,0.1,0.4
"Bodegraven-Reeuwijk","GM1901",2022-02-09,35684,12664,10715,9513,5461.8,8830.3,35489.3,"&#x26a1;",201,201,199,0,5.6,563.3,39,39,39,0,0,109.3,35.5,0.6,0.1,0.3
"Eijsden-Margraten","GM1903",2022-02-09,25889,7347,6551,6018,3074.7,5133.5,28378.8,"&#9989;",157,157,157,0,0,606.4,60,60,60,0,0,231.8,28.4,0.6,0.2,0.8
"Stichtse Vecht","GM1904",2022-02-09,65246,20634,17793,15027,4354.3,8593.6,31624.9,"&#x26a1;",358,355,349,4.6,13.8,548.7,77,77,77,0,0,118,31.6,0.5,0.1,0.4
"Hollands Kroon","GM1911",2022-02-09,48829,13342,11058,9747,4677.5,7362.4,27323.9,"&#x26a1;",198,196,196,4.1,4.1,405.5,38,38,38,0,0,77.8,27.3,0.4,0.1,0.3
"Leidschendam-Voorburg","GM1916",2022-02-09,76674,21912,18803,16342,4054.8,7264.5,28578.1,"&#x26a1;",310,305,300,6.5,13,404.3,107,107,107,0,0,139.6,28.6,0.4,0.1,0.5
"Goeree-Overflakkee","GM1924",2022-02-09,51029,14900,12507,11094,4689.5,7458.5,29199.1,"&#x26a1;",363,361,353,3.9,19.6,711.4,94,95,95,-2,-2,184.2,29.2,0.7,0.2,0.6
"Pijnacker-Nootdorp","GM1926",2022-02-09,56465,18844,16019,13881,5003.1,8789.5,33372.9,"&#x26a1;",220,216,208,7.1,21.3,389.6,43,43,43,0,0,76.2,33.4,0.4,0.1,0.2
"Nissewaard","GM1930",2022-02-09,86261,25931,22564,19782,3903.3,7128.4,30061.1,"&#x26a1;",623,611,602,13.9,24.3,722.2,108,108,108,0,0,125.2,30.1,0.7,0.1,0.4
"Krimpenerwaard","GM1931",2022-02-09,57042,18491,15757,14097,4793,7703.1,32416.5,"&#x26a1;",364,363,359,1.8,8.8,638.1,69,69,69,0,0,121,32.4,0.6,0.1,0.4
"De Fryske Marren","GM1940",2022-02-09,51641,14313,11497,10237,5453,7893,27716.3,"&#x26a1;",186,184,184,3.9,3.9,360.2,39,39,38,0,1.9,75.5,27.7,0.4,0.1,0.3
"Gooise Meren","GM1942",2022-02-09,58878,19430,16968,14890,4181.5,7710.9,33000.4,"&#x26a1;",168,166,163,3.4,8.5,285.3,45,45,45,0,0,76.4,33,0.3,0.1,0.2
"Berg en Dal","GM1945",2022-02-09,34986,9839,8425,7507,4041.6,6665.5,28122.7,"&#x26a1;",207,206,203,2.9,11.4,591.7,69,69,68,0,2.9,197.2,28.1,0.6,0.2,0.7
"Meierijstad","GM1948",2022-02-09,82548,25695,20612,19251,6157.6,7806.4,31127.3,"&#x26a1;",573,571,565,2.4,9.7,694.1,180,180,180,0,0,218.1,31.1,0.7,0.2,0.7
"Waadhoeke","GM1949",2022-02-09,46324,10773,8976,7897,3879.2,6208.4,23255.8,"&#x26a1;",141,139,136,4.3,10.8,304.4,45,45,44,0,2.2,97.1,23.3,0.3,0.1,0.4
"Westerwolde","GM1950",2022-02-09,26693,6905,6024,5366,3300.5,5765.6,25868.2,"&#x26a1;",129,127,126,7.5,11.2,483.3,25,25,25,0,0,93.7,25.9,0.5,0.1,0.4
"Midden-Groningen","GM1952",2022-02-09,60953,13333,11231,9521,3448.6,6254,21874.2,"&#x26a1;",287,281,278,9.8,14.8,470.9,47,47,47,0,0,77.1,21.9,0.5,0.1,0.4
"Beekdaelen","GM1954",2022-02-09,35939,10880,9530,8478,3756.4,6683.5,30273.5,"&#x26a1;",193,192,191,2.8,5.6,537,72,72,71,0,2.8,200.3,30.3,0.5,0.2,0.7
"Montferland","GM1955",2022-02-09,36303,9477,8018,7192,4019,6294.2,26105.3,"&#x26a1;",164,164,162,0,5.5,451.8,31,31,31,0,0,85.4,26.1,0.5,0.1,0.3
"Altena","GM1959",2022-02-09,57003,19811,16387,14290,6006.7,9685.5,34754.3,"&#x26a1;",366,363,358,5.3,14,642.1,76,76,76,0,0,133.3,34.8,0.6,0.1,0.4
"West Betuwe","GM1960",2022-02-09,51981,17334,15277,13265,3957.2,7827.9,33346.8,"&#x26a1;",333,332,327,1.9,11.5,640.6,69,69,69,0,0,132.7,33.3,0.6,0.1,0.4
"Vijfheerenlanden","GM1961",2022-02-09,58694,19712,17225,15235,4237.2,7627.7,33584.4,"&#x26a1;",330,324,321,10.2,15.3,562.2,82,82,82,0,0,139.7,33.6,0.6,0.1,0.4
"Hoeksche Waard","GM1963",2022-02-09,88625,27735,23912,20885,4313.7,7729.2,31294.8,"&#x26a1;",513,506,498,7.9,16.9,578.8,76,76,76,0,0,85.8,31.3,0.6,0.1,0.3
"Het Hogeland","GM1966",2022-02-09,47942,12687,11101,9234,3308.2,7202.5,26463.2,"&#x26a1;",100,96,94,8.3,12.5,208.6,38,38,37,0,2.1,79.3,26.5,0.2,0.1,0.3
"Westerkwartier","GM1969",2022-02-09,64253,13736,11233,9680,3895.5,6312.5,21378,"&#128721;",181,180,179,1.6,3.1,281.7,36,36,36,0,0,56,21.4,0.3,0.1,0.3
"Noardeast-Fryslân","GM1970",2022-02-09,45540,13055,10550,9561,5500.7,7672.4,28667.1,"&#x26a1;",228,227,222,2.2,13.2,500.7,57,57,57,0,0,125.2,28.7,0.5,0.1,0.4
"Molenlanden","GM1978",2022-02-09,44643,16283,14157,12492,4762.2,8491.8,36473.8,"&#x26a1;",238,236,232,4.5,13.4,533.1,45,45,45,0,0,100.8,36.5,0.5,0.1,0.3
"Eemsdelta","GM1979",2022-02-09,45404,8858,7434,6282,3136.3,5673.5,19509.3,"&#x26a1;",215,210,208,11,15.4,473.5,29,29,29,0,0,63.9,19.5,0.5,0.1,0.3
"Dijk en Waard","GM1980",2022-02-09,87739,27627,23313,20076,4916.9,8606.2,31487.7,"&#x26a1;",402,395,391,8,12.5,458.2,72,71,71,1.1,1.1,82.1,31.5,0.5,0.1,0.3
"Land van Cuijk","GM1982",2022-02-09,90829,28534,23072,21666,6013.5,7561.5,31415.1,"&#x26a1;",515,510,503,5.5,13.2,567,137,137,137,0,0,150.8,31.4,0.6,0.2,0.5
"Maashorst","GM1991",2022-02-09,58369,18320,14456,13332,6620,8545.6,31386.5,"&#128721;",367,367,366,0,1.7,628.8,123,123,123,0,0,210.7,31.4,0.6,0.2,0.7
