"municipality","Municipality_code","date","population","cases_d0","cases_d7","cases_d14","rel_cases_7d","rel_cases_14d","rel_cases_total","color","hosp_d0","hosp_d7","hosp_d14","rel_hosp_7d","rel_hosp_14d","rel_hosp_total","deaths_d0","deaths_d7","deaths_d14","rel_deaths_7d","rel_deaths_14d","rel_deaths_total","perc_cases","perc_hosp","perc_deaths","perc_deaths_per_case"
"Unknown","",2022-02-09,NA,46743,33076,27317,NA,NA,NA,NA,94050,92999,91694,NA,NA,NA,44,42,42,NA,NA,NA,NA,NA,NA,0.1
"Putten","GM0273",2022-02-09,24578,8384,7090,6020,5264.9,9618.4,34111.8,"&#x26a1;",118,117,113,4.1,20.3,480.1,21,21,21,0,0,85.4,34.1,0.5,0.1,0.3
"Renkum","GM0274",2022-02-09,31410,7137,4960,4752,6930.9,7593.1,22722.1,"&#x26a1;",102,101,99,3.2,9.6,324.7,38,38,38,0,0,121,22.7,0.3,0.1,0.5
"Rheden","GM0275",2022-02-09,43467,11143,8482,8078,6121.9,7051.3,25635.5,"&#x26a1;",159,157,155,4.6,9.2,365.8,87,87,87,0,0,200.2,25.6,0.4,0.2,0.8
"Rozendaal","GM0277",2022-02-09,1758,506,338,305,9556.3,11433.4,28782.7,"&#9989;",1,1,1,0,0,56.9,0,0,0,0,0,0,28.8,0.1,0,0
"Scherpenzeel","GM0279",2022-02-09,10317,3828,2922,2768,8781.6,10274.3,37103.8,"&#x26a1;",43,42,41,9.7,19.4,416.8,12,12,12,0,0,116.3,37.1,0.4,0.1,0.3
"Tiel","GM0281",2022-02-09,42236,13436,11485,9723,4619.3,8791.1,31811.7,"&#x26a1;",323,320,316,7.1,16.6,764.8,80,80,80,0,0,189.4,31.8,0.8,0.2,0.6
"Voorst","GM0285",2022-02-09,24964,6779,5637,4922,4574.6,7438.7,27155.1,"&#x26a1;",116,115,114,4,8,464.7,34,34,34,0,0,136.2,27.2,0.5,0.1,0.5
"Wageningen","GM0289",2022-02-09,40040,10537,7911,7572,6558.4,7405.1,26316.2,"&#128721;",118,118,117,0,2.5,294.7,72,72,72,0,0,179.8,26.3,0.3,0.2,0.7
"Westervoort","GM0293",2022-02-09,14942,3928,2888,2727,6960.2,8037.7,26288.3,"&#x26a1;",64,64,62,0,13.4,428.3,11,11,11,0,0,73.6,26.3,0.4,0.1,0.3
"Winterswijk","GM0294",2022-02-09,29088,7295,6204,5460,3750.7,6308.4,25079.1,"&#x26a1;",107,105,104,6.9,10.3,367.8,25,25,25,0,0,85.9,25.1,0.4,0.1,0.3
"Wijchen","GM0296",2022-02-09,41370,11736,9897,8842,4445.3,6995.4,28368.4,"&#x26a1;",237,233,229,9.7,19.3,572.9,71,71,71,0,0,171.6,28.4,0.6,0.2,0.6
"Zaltbommel","GM0297",2022-02-09,29944,10598,9123,7928,4925.9,8916.6,35392.7,"&#x26a1;",174,172,170,6.7,13.4,581.1,50,50,50,0,0,167,35.4,0.6,0.2,0.5
"Zevenaar","GM0299",2022-02-09,44649,11299,7939,7538,7525.4,8423.5,25306.3,"&#x1F7E3;",175,174,173,2.2,4.5,391.9,51,51,50,0,2.2,114.2,25.3,0.4,0.1,0.5
"Zutphen","GM0301",2022-02-09,48372,11956,10052,9029,3936.2,6051,24716.8,"&#x26a1;",195,193,191,4.1,8.3,403.1,48,48,48,0,0,99.2,24.7,0.4,0.1,0.4
"Nunspeet","GM0302",2022-02-09,28195,8470,7078,6321,4937,7621.9,30040.8,"&#x26a1;",224,223,221,3.5,10.6,794.5,44,44,44,0,0,156.1,30,0.8,0.2,0.5
"Dronten","GM0303",2022-02-09,42927,11660,8974,7721,6257.1,9176,27162.4,"&#x1F7E3;",177,176,175,2.3,4.7,412.3,32,32,32,0,0,74.5,27.2,0.4,0.1,0.3
"Amersfoort","GM0307",2022-02-09,158531,52861,45457,38245,4670.4,9219.6,33344.3,"&#x26a1;",666,654,639,7.6,17,420.1,153,153,153,0,0,96.5,33.3,0.4,0.1,0.3
"Baarn","GM0308",2022-02-09,24805,7739,6762,5882,3938.7,7486.4,31199.4,"&#x26a1;",84,81,78,12.1,24.2,338.6,30,30,30,0,0,120.9,31.2,0.3,0.1,0.4
"De Bilt","GM0310",2022-02-09,43483,12490,10558,9047,4443.1,7918,28723.9,"&#x26a1;",188,187,184,2.3,9.2,432.4,84,84,84,0,0,193.2,28.7,0.4,0.2,0.7
"Bunnik","GM0312",2022-02-09,15555,4135,3347,2885,5065.9,8036,26583.1,"&#x26a1;",54,53,52,6.4,12.9,347.2,15,15,15,0,0,96.4,26.6,0.3,0.1,0.4
"Bunschoten","GM0313",2022-02-09,22338,10123,8991,7749,5067.6,10627.6,45317.4,"&#x1F7E3;",156,156,155,0,4.5,698.4,43,43,42,0,4.5,192.5,45.3,0.7,0.2,0.4
"Eemnes","GM0317",2022-02-09,9456,3031,2640,2353,4134.9,7170.1,32053.7,"&#x26a1;",37,37,35,0,21.2,391.3,7,7,7,0,0,74,32.1,0.4,0.1,0.2
"Houten","GM0321",2022-02-09,50334,15465,12893,11070,5109.9,8731.7,30724.8,"&#x1F7E3;",162,161,161,2,2,321.9,53,53,53,0,0,105.3,30.7,0.3,0.1,0.3
"Leusden","GM0327",2022-02-09,30714,8894,7409,6330,4834.9,8348,28957.5,"&#x26a1;",86,85,84,3.3,6.5,280,32,32,32,0,0,104.2,29,0.3,0.1,0.4
"Lopik","GM0331",2022-02-09,14523,4938,4280,3761,4530.7,8104.4,34001.2,"&#9989;",78,78,78,0,0,537.1,12,12,12,0,0,82.6,34,0.5,0.1,0.2
"Montfoort","GM0335",2022-02-09,13844,4922,4273,3512,4688,10184.9,35553.3,"&#x26a1;",72,72,70,0,14.4,520.1,10,10,10,0,0,72.2,35.6,0.5,0.1,0.2
"Renswoude","GM0339",2022-02-09,5654,2044,1750,1525,5199.9,9179.3,36151.4,"&#9989;",21,21,21,0,0,371.4,5,5,5,0,0,88.4,36.2,0.4,0.1,0.2
"Rhenen","GM0340",2022-02-09,20286,7057,6076,5383,4835.8,8252,34787.5,"&#x1F7E3;",113,113,112,0,4.9,557,26,26,26,0,0,128.2,34.8,0.6,0.1,0.4
"Soest","GM0342",2022-02-09,47123,14704,12956,11104,3709.4,7639.6,31203.4,"&#x26a1;",214,213,208,2.1,12.7,454.1,55,55,55,0,0,116.7,31.2,0.5,0.1,0.4
"Utrecht","GM0344",2022-02-09,361966,120897,103665,89381,4760.7,8706.9,33400.1,"&#x26a1;",1765,1736,1703,8,17.1,487.6,306,306,304,0,0.6,84.5,33.4,0.5,0.1,0.3
"Veenendaal","GM0345",2022-02-09,67592,23804,20313,17490,5164.8,9341.3,35217.2,"&#x26a1;",363,357,355,8.9,11.8,537,90,91,91,-1.5,-1.5,133.2,35.2,0.5,0.1,0.4
"Woudenberg","GM0351",2022-02-09,13847,4847,4164,3728,4932.5,8081.2,35004,"&#9989;",62,62,62,0,0,447.8,9,9,9,0,0,65,35,0.4,0.1,0.2
"Wijk bij Duurstede","GM0352",2022-02-09,23937,6482,5494,4715,4127.5,7381.9,27079.4,"&#x26a1;",108,107,106,4.2,8.4,451.2,19,19,19,0,0,79.4,27.1,0.5,0.1,0.3
"IJsselstein","GM0353",2022-02-09,33482,11148,9648,8342,4480,8380.6,33295.5,"&#x26a1;",185,182,179,9,17.9,552.5,59,59,59,0,0,176.2,33.3,0.6,0.2,0.5
"Zeist","GM0355",2022-02-09,65789,19014,16096,13787,4435.4,7945.1,28901.5,"&#x26a1;",256,248,244,12.2,18.2,389.1,82,82,82,0,0,124.6,28.9,0.4,0.1,0.4
