"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
297,"&#x26a1;","Vlaardingen",0,3,"&#x2798;"
1,"&#9989;","Vlieland",0,0,"-"
205,"&#x26a1;","Vlissingen",0,7,"&#x279A;"
28,"&#9989;","Voerendaal",0,0,"-"
34,"&#9989;","Voorschoten",0,0,"-"
62,"&#x26a1;","Voorst",0,1,"&#x2798;"
76,"&#x26a1;","Vught",0,1,"-"
110,"&#x26a1;","Waadhoeke",0,3,"&#x279A;"
74,"&#x26a1;","Waalre",0,0,"&#x2798;"
154,"&#x26a1;","Waalwijk",0,1,"&#x2798;"
91,"&#x26a1;","Waddinxveen",0,2,"&#x279A;"
63,"&#x1F7E3;","Wageningen",0,1,"&#x279A;"
49,"&#x26a1;","Wassenaar",0,1,"&#x2798;"
47,"&#9989;","Waterland",0,0,"-"
202,"&#x26a1;","Weert",0,4,"&#x2798;"
51,"&#x1F7E3;","Weesp",0,0,"&#x2798;"
192,"&#x26a1;","West Betuwe",0,5,"&#x279A;"
52,"&#9989;","West Maas en Waal",0,0,"-"
121,"&#x1F7E3;","Westerkwartier",0,1,"&#x2798;"
28,"&#x26a1;","Westerveld",0,0,"&#x2798;"
47,"&#x26a1;","Westervoort",0,1,"-"
99,"&#x26a1;","Westerwolde",0,1,"&#x2798;"
359,"&#x26a1;","Westland",0,11,"-"
76,"&#x26a1;","Weststellingwerf",0,3,"&#x279A;"
57,"&#x26a1;","Westvoorne",0,1,"-"
74,"&#x26a1;","Wierden",0,2,"&#x279A;"
116,"&#x26a1;","Wijchen",0,2,"&#x2798;"
61,"&#x1F7E3;","Wijdemeren",0,0,"&#x2798;"
67,"&#x26a1;","Wijk bij Duurstede",0,1,"&#x2798;"
71,"&#x26a1;","Winterswijk",0,1,"&#x2798;"
78,"&#x26a1;","Woensdrecht",0,2,"&#x279A;"
174,"&#x26a1;","Woerden",0,4,"&#x279A;"
63,"&#x26a1;","Wormerland",0,0,"&#x2798;"
37,"&#9989;","Woudenberg",0,0,"-"
517,"&#x26a1;","Zaanstad",0,10,"&#x279A;"
116,"&#x26a1;","Zaltbommel",0,2,"&#x279A;"
42,"&#x26a1;","Zandvoort",0,2,"&#x279A;"
50,"&#x1F7E3;","Zeewolde",0,0,"&#x2798;"
141,"&#x26a1;","Zeist",0,4,"-"
120,"&#128721;","Zevenaar",0,0,"&#x2798;"
389,"&#x26a1;","Zoetermeer",2,10,"&#x279A;"
16,"&#9989;","Zoeterwoude",0,0,"-"
202,"&#x26a1;","Zuidplas",0,2,"&#x2798;"
55,"&#x26a1;","Zundert",1,4,"&#x279A;"
114,"&#x26a1;","Zutphen",0,0,"&#x2798;"
76,"&#x1F7E3;","Zwartewaterland",0,0,"&#x2798;"
222,"&#x26a1;","Zwijndrecht",0,2,"&#x2798;"
268,"&#x26a1;","Zwolle",0,10,"&#x279A;"
