"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
16874,"&#x26a1;","Smallingerland",154,1359,"&#x2798;"
14732,"&#x26a1;","Soest",68,670,"&#x2798;"
6379,"&#x26a1;","Someren",29,311,"&#x2798;"
5361,"&#x26a1;","Son en Breugel",39,248,"&#x2798;"
8399,"&#x26a1;","Stadskanaal",64,521,"&#x2798;"
6948,"&#x26a1;","Staphorst",24,229,"&#x2798;"
6884,"&#x26a1;","Stede Broec",20,249,"&#x2798;"
7064,"&#x26a1;","Steenbergen",22,211,"&#x2798;"
12009,"&#x26a1;","Steenwijkerland",114,828,"&#x2798;"
7867,"&#x26a1;","Stein",47,324,"&#x2798;"
20946,"&#x26a1;","Stichtse Vecht",133,934,"&#x2798;"
26441,"&#x26a1;","Súdwest-Fryslân",204,1457,"&#x2798;"
14570,"&#x26a1;","Terneuzen",64,492,"&#x2798;"
1060,"&#x26a1;","Terschelling",11,55,"&#x2798;"
3006,"&#x26a1;","Texel",4,172,"&#x2798;&#x2798;"
11858,"&#x26a1;","Teylingen",82,552,"&#x2798;"
9780,"&#x26a1;","Tholen",109,422,"&#x2798;"
13447,"&#x26a1;","Tiel",69,535,"&#x2798;"
75564,"&#x26a1;","Tilburg",320,2617,"&#x2798;"
7385,"&#x26a1;","Tubbergen",43,299,"&#x2798;"
11426,"&#x26a1;","Twenterand",64,499,"&#x2798;"
7839,"&#x26a1;","Tynaarlo",110,572,"&#x2798;"
10263,"&#x26a1;","Tytsjerksteradiel",92,803,"&#x2798;"
4483,"&#x26a1;","Uitgeest",41,243,"&#x2798;"
9620,"&#x26a1;","Uithoorn",44,375,"&#x2798;"
6472,"&#x26a1;","Urk",8,88,"&#x2798;&#x2798;"
125933,"&#x26a1;","Utrecht",1168,7018,"&#x2798;"
14124,"&#x26a1;","Utrechtse Heuvelrug",102,786,"&#x2798;"
2270,"&#x26a1;","Vaals",9,108,"&#x2798;"
4439,"&#x26a1;","Valkenburg aan de Geul",20,188,"&#x2798;"
9287,"&#x26a1;","Valkenswaard",37,391,"&#x2798;"
6976,"&#x26a1;","Veendam",79,487,"&#x2798;"
23143,"&#x26a1;","Veenendaal",149,1208,"&#x2798;"
6815,"&#x26a1;","Veere",34,340,"&#x2798;"
13608,"&#x26a1;","Veldhoven",58,635,"&#x2798;"
21396,"&#x26a1;","Velsen",94,847,"&#x2798;"
35248,"&#x26a1;","Venlo",141,1150,"&#x2798;"
14466,"&#x26a1;","Venray",83,671,"&#x2798;"
19747,"&#x26a1;","Vijfheerenlanden",117,917,"&#x2798;"
22783,"&#x26a1;","Vlaardingen",68,785,"&#x2798;"
