"date","IC_capaciteit_totaal","kliniek_capaciteit_totaal","IC_bezetting_covid","IC_bezetting_covid_internationaal","IC_bezetting_ontlabeld","IC_bezetting_noncovid","kliniek_bezetting_covid","kliniek_bezetting_ontlabeld","kliniek_bezetting_noncovid","IC_opnames_covid","kliniek_opnames_covid","Kliniek_Bedden_Nederland","IC_Bedden_COVID_Nederland","Totaal_Bezetting","IC_Opnames_7d","Kliniek_Opnames_7d","Totaal_opnames","Totaal_opnames_7d","Totaal_IC","IC_opnames_14d","Kliniek_opnames_14d","OMT_Check_IC","OMT_Check_Kliniek","Kliniek_Bedden_7d","IC_Bedden_7d","Totaal_Bedden_7d","IC_Bedden_14d","Kliniek_Bedden_14d","Totaal_Bedden_14d","OMT_Check_IC_Bezetting","OMT_Check_Kliniek_Bezetting","OMT_Check_Totaal_Bezetting"
2021-06-04,1218,15233,269,0,108,554,420,268,12996,14,63,688,377,1065,11.2857142857143,72.2857142857143,77,83.5714285714286,377,20.5714285714286,98.1428571428571,54.9,73.7,785.428571428571,442.857142857143,1228.28571428571,572.857142857143,1054.42857142857,1627.28571428571,77.3,74.5,75.5
2021-06-03,1230,15148,295,0,99,541,434,270,12497,10,74,704,394,1098,13.1428571428571,76.5714285714286,84,89.7142857142857,394,20.1428571428571,104.142857142857,65.2,73.5,818.428571428571,463.428571428571,1281.85714285714,585.285714285714,1096.57142857143,1681.85714285714,79.2,74.6,76.2
2021-06-02,1240,15058,319,0,101,518,490,279,12731,8,69,769,420,1189,13.7142857142857,75.8571428571429,77,89.5714285714286,420,21.1428571428571,114,64.9,66.5,856.571428571429,484.428571428571,1341,596.714285714286,1140.42857142857,1737.14285714286,81.2,75.1,77.2
2021-06-01,1233,14941,351,0,96,510,522,271,12271,6,77,793,447,1240,14.7142857142857,79.2857142857143,83,94,447,23.1428571428571,123.285714285714,63.6,64.3,898,504.285714285714,1402.28571428571,607.857142857143,1184.14285714286,1792,83,75.8,78.3
2021-05-31,1242,14726,381,0,96,495,576,274,11290,10,55,850,477,1327,16.4285714285714,83.2857142857143,65,99.7142857142857,477,25.2857142857143,136.714285714286,65,60.9,942.142857142857,523.142857142857,1465.28571428571,617.428571428571,1241.42857142857,1858.85714285714,84.7,75.9,78.8
2021-05-30,1249,14266,391,0,95,479,573,268,10797,14,75,841,486,1327,17.7142857142857,88.5714285714286,89,106.285714285714,486,25.8571428571429,140,68.5,63.3,977.428571428571,540.428571428571,1517.85714285714,629.285714285714,1299.28571428571,1928.57142857143,85.9,75.2,78.7
2021-05-29,1246,14635,403,0,96,522,596,257,11497,17,93,853,499,1352,19.5714285714286,91.5714285714286,110,111.142857142857,499,25.7142857142857,145.857142857143,76.1,62.8,1015,558.142857142857,1573.14285714286,640.142857142857,1351,1991.14285714286,87.2,75.1,79
2021-05-28,1266,15057,422,0,99,543,620,299,12249,27,93,919,521,1440,20.5714285714286,98.1428571428571,120,118.714285714286,521,28,157.428571428571,73.5,62.3,1054.42857142857,572.857142857143,1627.28571428571,655.571428571429,1400.14285714286,2055.71428571429,87.4,75.3,79.2
2021-05-27,1261,15258,442,0,99,521,661,310,12254,14,69,971,541,1512,20.1428571428571,104.142857142857,83,124.285714285714,541,27.7142857142857,158.285714285714,72.7,65.8,1096.57142857143,585.285714285714,1681.85714285714,672.714285714286,1444.14285714286,2116.85714285714,87,75.9,79.5
2021-05-26,1268,15294,462,0,97,507,744,315,12257,15,93,1059,559,1618,21.1428571428571,114,108,135.142857142857,559,29.7142857142857,167.857142857143,71.2,67.9,1140.42857142857,596.714285714286,1737.14285714286,688.714285714286,1475.57142857143,2164.28571428571,86.6,77.3,80.3
2021-05-25,1288,15128,479,0,100,441,778,324,11279,18,105,1102,579,1681,23.1428571428571,123.285714285714,123,146.428571428571,579,31.2857142857143,175.142857142857,74,70.4,1184.14285714286,607.857142857143,1792,703.142857142857,1510.14285714286,2213.28571428571,86.4,78.4,81
2021-05-24,1313,14445,497,0,101,416,783,314,10393,19,92,1097,598,1695,25.2857142857143,136.714285714286,111,162,598,30.7142857142857,183.142857142857,82.3,74.6,1241.42857142857,617.428571428571,1858.85714285714,717.714285714286,1542.85714285714,2260.57142857143,86,80.5,82.2
2021-05-23,1337,14640,505,0,105,414,803,301,10306,27,96,1104,610,1714,25.8571428571429,140,123,165.857142857143,610,32.8571428571429,192.857142857143,78.7,72.6,1299.28571428571,629.285714285714,1928.57142857143,728.571428571429,1575.42857142857,2304,86.4,82.5,83.7
2021-05-22,1352,14841,509,0,93,444,820,309,11200,24,139,1129,602,1731,25.7142857142857,145.857142857143,163,171.571428571429,602,32.5714285714286,198.285714285714,78.9,73.6,1351,640.142857142857,1991.14285714286,740.142857142857,1604.28571428571,2344.42857142857,86.5,84.2,84.9
2021-05-21,1364,15118,517,0,91,475,889,325,11907,24,135,1214,608,1822,28,157.428571428571,159,185.428571428571,608,32.1428571428571,204.571428571429,87.1,77,1400.14285714286,655.571428571429,2055.71428571429,749.857142857143,1636.71428571429,2386.57142857143,87.4,85.5,86.1
2021-05-20,1368,15184,525,0,96,486,963,315,12119,21,138,1278,621,1899,27.7142857142857,158.285714285714,159,186,621,35.2857142857143,219.142857142857,78.5,72.2,1444.14285714286,672.714285714286,2116.85714285714,759.714285714286,1665.57142857143,2425.28571428571,88.5,86.7,87.3
2021-05-19,1367,15347,548,0,89,479,1036,329,12190,29,158,1365,637,2002,29.7142857142857,167.857142857143,187,197.571428571429,637,36.1428571428571,221,82.2,76,1475.57142857143,688.714285714286,2164.28571428571,770.285714285714,1700.71428571429,2471,89.4,86.8,87.6
2021-05-18,1377,15306,557,0,89,476,1130,373,12078,33,199,1503,646,2149,31.2857142857143,175.142857142857,232,206.428571428571,646,37.1428571428571,226,84.2,77.5,1510.14285714286,703.142857142857,2213.28571428571,783.428571428571,1716.14285714286,2499.57142857143,89.8,88,88.5
2021-05-17,1380,15216,593,0,88,427,1115,387,11431,23,115,1502,681,2183,30.7142857142857,183.142857142857,138,213.857142857143,681,39.7142857142857,228.428571428571,77.3,80.2,1542.85714285714,717.714285714286,2260.57142857143,793.428571428571,1725.14285714286,2518.57142857143,90.5,89.4,89.8
