"current","municipality","increase_1d","increase_7d","growth"
22,"Steenbergen",0,0,"&#x2798;"
30,"Steenwijkerland",0,0,"-"
27,"Stein",0,0,"-"
76,"Stichtse Vecht",0,1,"&#x2798;"
98,"Súdwest-Fryslân",0,1,"&#x279A;"
36,"Terneuzen",1,1,"-"
2,"Terschelling",0,0,"-"
4,"Texel",0,0,"-"
27,"Teylingen",0,0,"-"
34,"Tholen",0,1,"-"
80,"Tiel",0,2,"&#x279A;"
299,"Tilburg",0,2,"&#x279A;"
21,"Tubbergen",0,0,"-"
35,"Twenterand",0,0,"&#x2798;"
26,"Tynaarlo",0,0,"-"
34,"Tytsjerksteradiel",0,2,"&#x279A;"
92,"Uden",0,1,"&#x279A;"
13,"Uitgeest",0,1,"&#x279A;"
19,"Uithoorn",0,0,"&#x2798;"
24,"Urk",0,0,"-"
292,"Utrecht",0,4,"&#x2798;"
86,"Utrechtse Heuvelrug",0,1,"&#x2798;"
18,"Vaals",0,2,"&#x279A;"
32,"Valkenburg aan de Geul",0,1,"&#x279A;"
71,"Valkenswaard",0,2,"&#x279A;"
18,"Veendam",0,1,"-"
88,"Veenendaal",0,2,"&#x279A;"
9,"Veere",0,0,"-"
52,"Veldhoven",0,0,"-"
98,"Velsen",0,0,"&#x2798;"
198,"Venlo",0,6,"&#x279A;"
58,"Venray",0,0,"&#x2798;"
82,"Vijfheerenlanden",0,0,"&#x2798;"
108,"Vlaardingen",0,1,"-"
1,"Vlieland",0,0,"-"
37,"Vlissingen",0,1,"&#x279A;"
12,"Voerendaal",0,0,"-"
24,"Voorschoten",0,0,"-"
31,"Voorst",0,0,"-"
55,"Vught",0,0,"&#x2798;"
43,"Waadhoeke",0,1,"&#x279A;"
17,"Waalre",0,0,"-"
82,"Waalwijk",0,1,"-"
19,"Waddinxveen",0,1,"&#x279A;"
71,"Wageningen",0,0,"&#x2798;"
36,"Wassenaar",0,1,"&#x279A;"
18,"Waterland",0,0,"-"
91,"Weert",0,0,"&#x2798;"
23,"Weesp",0,0,"-"
67,"West Betuwe",0,0,"&#x2798;"
19,"West Maas en Waal",0,0,"-"
34,"Westerkwartier",0,1,"-"
24,"Westerveld",0,0,"-"
11,"Westervoort",0,1,"&#x279A;"
25,"Westerwolde",0,0,"-"
98,"Westland",1,1,"&#x2798;"
31,"Weststellingwerf",0,2,"&#x279A;"
20,"Westvoorne",0,0,"-"
31,"Wierden",0,1,"&#x279A;"
68,"Wijchen",0,1,"-"
24,"Wijdemeren",0,0,"-"
19,"Wijk bij Duurstede",0,0,"&#x2798;"
23,"Winterswijk",0,0,"-"
26,"Woensdrecht",0,0,"-"
46,"Woerden",0,1,"&#x279A;"
36,"Wormerland",0,0,"-"
9,"Woudenberg",0,0,"-"
190,"Zaanstad",0,1,"&#x279A;"
49,"Zaltbommel",0,1,"&#x279A;"
46,"Zandvoort",0,0,"&#x2798;"
17,"Zeewolde",0,0,"-"
81,"Zeist",0,1,"&#x2798;"
50,"Zevenaar",0,0,"-"
77,"Zoetermeer",0,1,"-"
1,"Zoeterwoude",0,0,"-"
50,"Zuidplas",0,1,"-"
18,"Zundert",0,0,"&#x2798;"
45,"Zutphen",0,2,"&#x2798;"
34,"Zwartewaterland",0,0,"-"
118,"Zwijndrecht",0,1,"&#x2798;"
144,"Zwolle",1,2,"&#x2798;"
