"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d"
"Rozendaal","GM0277",2021-12-15,0,0,0,0,0,0,0,2021-01-01,0,0,0,0,0,"-",1754,0,0,0
"Scherpenzeel","GM0279",2021-12-15,12,12,12,12,12,8,8,2021-01-01,12,0,0,0,0,"-",10326,0,0,0
"Tiel","GM0281",2021-12-15,78,78,78,78,76,39,39,2021-01-01,78,0,0,2,-100,"&#x2798;",42122,0,0,4.74811262523147
"Voorst","GM0285",2021-12-15,31,31,31,31,31,12,12,2021-01-01,31,0,0,0,0,"-",24975,0,0,0
"Wageningen","GM0289",2021-12-15,66,66,61,57,53,30,30,2021-01-01,66,0,5,13,-37.5,"&#x2798;",40066,0,12.4794089751909,32.4464633354964
"Westervoort","GM0293",2021-12-15,10,10,10,10,9,7,7,2021-01-01,10,0,0,1,-100,"&#x2798;",14970,0,0,6.68002672010688
"Winterswijk","GM0294",2021-12-15,23,23,22,22,22,8,8,2021-01-01,23,0,1,1,100,"&#x279A;",29064,0,3.44068263143408,3.44068263143408
"Wijchen","GM0296",2021-12-15,66,66,66,66,65,35,35,2021-01-01,66,0,0,1,-100,"&#x2798;",41371,0,0,2.41715211138237
"Zaltbommel","GM0297",2021-12-15,48,48,48,48,48,31,30,2021-01-04,48,0,0,0,0,"-",29896,0,0,0
"Zevenaar","GM0299",2021-12-15,50,50,50,50,50,23,23,2021-01-01,50,0,0,0,0,"-",44610,0,0,0
"Zutphen","GM0301",2021-12-15,39,39,39,39,36,22,22,2021-01-01,39,0,0,3,-100,"&#x2798;",48428,0,0,6.19476336003965
"Nunspeet","GM0302",2021-12-15,41,41,41,41,41,26,26,2021-01-01,41,0,0,0,0,"-",28168,0,0,0
"Dronten","GM0303",2021-12-15,30,29,29,29,28,17,17,2021-01-01,30,1,1,2,0,"-",42926,2.32959045799748,2.32959045799748,4.65918091599497
"Amersfoort","GM0307",2021-12-15,149,149,147,147,145,77,77,2021-01-01,149,0,2,4,0,"-",158397,0,1.26265017645536,2.52530035291072
