"Datum","Type","<20","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 - 89",">90"
"2020-05-14","IC",9,10,17,31,39,56,156,236,362,448,495,548,313,62,12,2
"2020-05-15","IC",10,10,18,31,39,56,155,234,362,448,499,546,309,62,11,2
"2020-05-16","IC",9,10,17,31,39,56,155,234,362,447,497,546,309,62,11,2
"2020-05-17","IC",9,10,16,31,39,56,155,235,363,448,496,547,313,63,11,2
"2020-05-18","IC",9,10,16,32,40,56,155,236,362,450,502,551,313,63,11,2
"2020-05-19","IC",9,10,16,32,40,56,158,236,366,448,501,549,310,67,11,1
"2020-05-20","IC",9,10,17,32,40,57,157,239,368,448,501,550,315,63,11,1
"2020-05-21","IC",10,10,17,32,41,56,157,239,366,445,499,552,312,63,11,1
"2020-05-22","IC",10,10,16,32,41,56,157,238,367,446,500,551,312,64,11,1
"2020-05-23","IC",10,10,16,32,42,56,156,238,366,445,499,552,312,64,11,1
"2020-05-24","IC",10,10,16,32,43,56,156,240,369,445,498,551,312,64,11,1
"2020-05-25","IC",10,10,16,32,42,56,157,243,368,447,499,552,313,65,12,1
"2020-05-26","IC",10,10,16,32,42,56,159,243,369,447,498,548,312,64,12,1
"2020-05-27","IC",10,10,16,32,41,56,157,243,367,446,500,546,312,64,12,1
"2020-05-28","IC",10,10,16,32,41,57,158,248,368,450,498,549,315,64,12,1
"2020-05-29","IC",11,10,16,32,41,57,158,246,370,451,501,549,316,64,13,1
"2020-05-30","IC",10,10,16,32,41,57,160,247,369,451,500,549,316,64,13,1
"2020-05-31","IC",10,10,16,32,43,56,159,248,369,452,500,549,316,65,13,1
"2020-06-01","IC",10,10,16,32,42,56,158,248,369,453,500,550,315,64,13,1
"2020-06-02","IC",10,10,16,32,42,56,161,251,370,452,502,551,315,64,13,1
"2020-06-03","IC",10,10,16,32,42,56,159,252,370,451,500,551,318,64,13,1
"2020-06-04","IC",10,11,16,33,41,56,160,251,371,451,504,552,319,65,13,1
"2020-06-05","IC",10,11,16,33,41,57,161,252,371,455,502,552,319,66,13,1
"2020-06-06","IC",10,11,16,34,41,56,162,252,370,453,502,552,318,64,14,1
"2020-06-07","IC",10,11,16,34,41,56,162,252,370,452,502,552,320,64,14,1
"2020-06-08","IC",10,11,17,34,41,56,162,253,371,452,503,556,319,64,14,1
"2020-06-09","IC",10,11,17,35,41,57,161,253,373,451,506,553,319,64,14,0
"2020-06-10","IC",10,11,17,35,41,56,161,253,372,450,505,552,317,65,14,0
"2020-06-11","IC",10,11,17,35,41,57,162,254,371,450,504,553,318,64,14,0
"2020-06-12","IC",10,12,17,35,41,57,160,256,372,449,505,552,318,65,14,0
"2020-06-13","IC",10,12,17,35,41,57,161,254,372,448,506,553,318,63,14,0
"2020-06-14","IC",10,12,17,36,41,57,161,254,372,448,506,553,318,63,14,0
"2020-06-15","IC",11,11,17,35,41,58,161,255,375,448,506,554,320,64,14,0
"2020-06-16","IC",11,11,17,35,41,59,161,257,375,450,508,554,321,63,14,0
"2020-06-17","IC",11,11,17,35,41,59,161,258,375,450,506,556,321,64,15,0
"2020-06-18","IC",11,11,17,35,42,60,162,256,374,451,507,556,320,63,15,0
"2020-06-19","IC",11,11,17,35,41,59,161,255,374,449,509,554,321,63,15,0
"2020-06-20","IC",10,11,17,35,41,59,161,256,376,449,509,556,323,63,15,0
"2020-06-21","IC",10,11,17,35,41,59,161,256,375,448,510,554,321,63,15,0
"2020-06-22","IC",10,11,17,35,41,60,161,255,377,448,510,553,323,63,15,0
"2020-06-23","IC",10,11,18,35,41,59,161,254,377,449,510,554,320,63,15,0
"2020-06-24","IC",11,11,17,35,41,59,160,255,375,449,511,555,323,63,14,0
"2020-06-25","IC",11,11,17,35,42,59,160,255,376,449,509,554,323,63,14,0
"2020-06-27","IC",11,11,17,35,42,59,161,256,376,449,508,554,323,64,14,0
"2020-06-28","IC",11,11,17,35,42,59,161,256,376,448,509,554,324,64,14,0
"2020-06-29","IC",12,11,18,35,42,59,160,256,374,449,509,555,322,63,14,0
"2020-06-30","IC",11,11,18,35,42,59,160,255,375,449,512,556,321,63,14,0
"2020-07-01","IC",11,11,18,35,42,59,160,256,377,449,509,555,322,64,14,0
"2020-07-02","IC",11,11,18,35,42,59,160,255,377,449,510,553,319,63,14,0
"2020-07-03","IC",11,11,18,35,42,59,161,255,377,448,511,553,318,65,14,0
"2020-07-04","IC",11,11,18,35,42,59,162,255,377,448,511,553,318,65,14,0
"2020-07-07","IC",11,11,18,35,42,60,162,255,376,447,511,554,319,65,14,0
"2020-07-08","IC",11,11,18,35,42,60,162,255,376,447,508,552,320,65,14,0
"2020-07-13","IC",11,11,18,35,42,60,162,254,378,446,509,551,320,66,14,0
"2020-07-14","IC",11,11,18,36,42,60,161,254,379,447,510,554,322,66,15,0
"2020-07-18","IC",11,11,18,36,42,60,161,254,378,447,510,553,321,65,15,0
"2020-07-19","IC",11,11,18,36,42,60,161,254,378,447,511,553,320,65,15,0
"2020-07-20","IC",11,11,18,36,42,60,161,254,378,447,511,554,320,65,15,0
"2020-07-21","IC",11,11,18,36,43,60,161,252,379,450,509,555,321,65,15,0
"2020-07-22","IC",11,11,18,36,43,61,161,252,377,448,511,553,321,65,15,0
"2020-07-23","IC",11,11,18,36,43,61,161,252,378,448,510,553,322,66,15,0
"2020-07-24","IC",11,11,18,36,43,61,161,252,378,449,509,552,322,66,15,0
"2020-07-25","IC",11,11,18,36,43,61,161,252,378,450,509,554,322,66,15,0
"2020-07-26","IC",11,11,18,36,43,61,161,252,378,450,510,552,322,66,15,0
"2020-07-27","IC",11,11,18,37,43,61,161,252,378,451,509,552,324,68,15,0
"2020-07-28","IC",11,11,18,37,43,62,161,254,377,451,510,553,322,70,15,0
"2020-07-29","IC",11,11,18,37,43,61,161,255,377,450,510,552,322,68,15,0
"2020-07-30","IC",10,11,19,37,42,62,161,254,377,449,511,554,322,68,15,0
"2020-07-31","IC",10,11,19,38,42,64,161,253,378,451,510,553,323,70,16,0
"2020-08-01","IC",10,11,19,38,42,64,161,253,379,451,510,555,324,70,15,0
"2020-08-02","IC",10,11,19,38,42,64,160,253,378,451,511,554,324,70,15,0
"2020-08-03","IC",10,11,19,38,41,63,161,252,380,450,511,555,326,70,16,0
"2020-08-04","IC",10,11,19,38,42,63,160,252,379,453,511,557,326,69,16,0
"2020-08-05","IC",10,11,19,38,41,63,160,252,380,454,513,557,323,69,16,0
"2020-08-06","IC",10,11,19,38,41,63,161,252,378,453,512,557,322,69,15,0
"2020-08-07","IC",10,11,19,38,41,63,162,252,379,452,513,557,322,70,15,0
"2020-08-08","IC",10,11,19,38,41,63,161,253,379,452,513,557,322,70,15,0
"2020-08-09","IC",10,11,19,38,41,63,161,253,379,453,513,557,322,70,15,0
"2020-08-10","IC",9,11,19,38,41,63,162,256,380,456,515,557,322,71,15,0
"2020-08-11","IC",9,11,19,38,42,64,163,254,380,455,517,555,321,73,15,0
"2020-08-12","IC",9,11,19,39,42,65,163,257,380,457,516,555,322,72,15,0
"2020-08-13","IC",9,11,19,38,42,63,165,257,382,459,518,557,325,73,15,0
"2020-08-14","IC",9,11,19,38,42,63,166,256,381,461,522,560,325,74,15,0
"2020-08-15","IC",9,11,19,38,42,63,165,256,381,461,522,560,326,73,15,0
"2020-08-16","IC",9,11,19,38,42,63,165,257,381,461,521,560,326,73,15,0
"2020-08-17","IC",8,11,21,38,43,63,166,259,380,463,524,561,325,73,15,0
"2020-08-18","IC",8,12,20,38,44,63,166,258,381,461,526,560,327,74,15,0
"2020-08-19","IC",8,12,20,38,44,63,166,258,382,462,526,561,325,75,15,1
"2020-08-20","IC",8,12,20,38,44,63,166,258,382,461,528,562,326,75,15,3
"2020-08-21","IC",8,12,20,38,47,63,167,258,383,465,528,567,325,76,15,1
"2020-08-22","IC",8,12,20,38,46,63,167,259,384,464,526,566,325,75,15,1
"2020-08-23","IC",8,12,20,38,47,63,167,259,384,464,529,567,325,75,15,0
"2020-08-24","IC",8,12,20,38,47,63,167,261,384,467,527,569,324,75,15,0
"2020-08-25","IC",8,12,20,38,47,63,167,259,386,467,529,569,324,76,15,0
"2020-08-26","IC",8,12,20,38,47,63,167,259,386,468,528,569,325,75,15,0
"2020-08-27","IC",8,12,20,37,46,63,166,263,385,468,527,570,325,75,15,0
"2020-08-28","IC",8,12,20,37,46,63,167,263,385,468,528,569,325,77,15,0
"2020-08-31","IC",8,12,20,37,46,63,167,264,385,469,530,572,326,75,16,0
"2020-09-01","IC",8,12,20,37,46,63,167,263,385,471,528,570,326,75,16,0
"2020-09-02","IC",8,12,20,38,47,63,169,266,385,469,528,569,327,75,16,0
"2020-09-03","IC",8,12,20,37,46,63,169,265,386,469,528,570,327,76,16,0
"2020-09-04","IC",8,12,20,37,46,63,169,266,386,469,529,570,330,76,16,0
"2020-09-05","IC",8,12,20,37,47,64,169,265,386,469,528,570,329,76,16,0
"2020-09-06","IC",8,12,20,37,47,64,169,266,386,469,528,570,328,76,16,0
"2020-09-07","IC",8,12,20,37,46,66,169,268,387,469,528,571,329,76,16,0
"2020-09-08","IC",8,12,20,37,46,65,169,270,387,470,528,572,329,76,16,0
"2020-09-09","IC",8,12,20,37,47,65,170,269,387,470,528,572,330,76,16,0
"2020-09-10","IC",8,12,20,37,47,65,171,269,389,470,529,576,330,76,16,0
"2020-09-11","IC",8,12,20,37,48,65,171,269,387,471,530,577,333,76,16,0
"2020-09-12","IC",8,12,20,37,47,66,171,269,389,470,530,576,334,76,16,0
"2020-09-13","IC",8,12,20,37,47,66,171,270,389,470,530,576,334,76,16,0
"2020-09-14","IC",8,12,20,38,47,66,172,271,391,472,534,579,337,76,16,0
"2020-09-15","IC",9,12,22,37,47,68,174,273,391,473,535,583,339,76,17,0
"2020-09-16","IC",8,11,21,38,48,68,173,272,395,478,539,587,345,78,17,0
"2020-09-17","IC",8,11,21,38,48,69,175,273,397,484,539,590,350,81,19,0
"2020-09-18","IC",8,11,21,38,48,69,175,273,398,486,540,587,349,83,19,0
"2020-09-19","IC",8,11,21,38,48,68,175,273,397,479,538,584,342,79,18,0
"2020-09-20","IC",8,11,21,38,48,68,176,273,396,481,539,587,344,79,18,0
"2020-09-21","IC",8,11,21,38,48,68,178,273,398,483,545,589,346,82,18,0
"2020-09-22","IC",9,11,21,39,48,70,180,273,403,484,548,589,348,83,18,0
"2020-09-23","IC",9,11,22,39,49,70,179,273,400,486,551,590,344,82,17,0
"2020-09-24","IC",9,12,22,39,50,70,180,275,402,489,556,594,352,80,18,0
"2020-09-25","IC",9,12,22,40,48,70,181,276,401,489,556,599,354,80,18,0
"2020-09-26","IC",9,12,23,40,49,71,181,277,403,486,562,599,358,80,18,0
"2020-09-27","IC",9,12,24,40,49,72,181,278,404,486,562,601,359,80,18,0
"2020-09-28","IC",10,12,25,40,50,73,182,281,406,492,565,606,361,82,18,1
"2020-09-29","IC",10,12,25,42,50,76,186,283,410,493,570,610,364,82,18,0
"2020-09-30","IC",11,12,24,41,53,76,187,282,414,493,573,616,368,86,19,0
"2020-10-01","IC",10,12,24,42,53,77,190,282,413,496,576,621,372,86,19,1
"2020-10-02","IC",10,13,25,42,55,78,190,285,414,498,575,621,372,85,18,1
"2020-10-03","IC",10,13,24,42,53,78,192,286,415,499,575,620,378,86,18,1
"2020-10-04","IC",10,13,25,42,53,78,194,288,419,502,578,622,376,86,18,1
"2020-10-05","IC",10,12,25,44,53,80,195,290,424,510,587,630,380,92,18,0
"2020-10-06","IC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-07","IC",10,13,24,44,53,81,197,295,429,523,600,644,390,90,19,0
"2020-10-08","IC",10,12,24,44,53,83,198,299,435,524,600,649,391,90,20,0
"2020-10-09","IC",10,14,25,44,53,84,202,301,436,526,603,651,397,93,21,0
"2020-10-10","IC",10,13,25,44,56,84,202,303,436,530,603,656,399,93,21,0
"2020-10-11","IC",10,13,25,45,56,84,201,304,437,531,604,658,402,95,21,0
"2020-10-12","IC",10,13,25,47,59,87,203,307,443,542,614,667,405,98,23,0
"2020-10-13","IC",10,13,26,47,58,86,204,311,443,549,613,673,415,103,22,0
"2020-10-14","IC",10,14,26,47,58,86,207,316,446,555,615,685,418,106,22,0
"2020-10-15","IC",10,15,26,47,57,87,208,316,450,559,623,688,426,111,22,0
"2020-10-16","IC",10,14,26,49,57,87,212,319,458,562,637,697,434,113,22,0
"2020-10-17","IC",10,14,26,48,58,87,209,323,462,565,640,707,436,119,22,0
"2020-10-18","IC",10,14,27,48,58,87,210,324,466,569,648,711,441,118,23,0
"2020-10-19","IC",10,14,27,49,61,90,212,328,470,574,661,716,450,122,23,0
"2020-10-20","IC",10,14,27,49,60,91,221,333,475,590,671,731,466,127,23,0
"2020-10-21","IC",10,15,27,50,60,92,223,343,474,593,687,737,470,129,25,0
"2020-10-22","IC",10,16,27,51,61,92,224,341,483,607,692,747,478,133,24,0
"2020-10-23","IC",10,17,27,52,61,95,224,342,484,615,700,759,480,129,24,0
"2020-10-24","IC",10,17,27,52,61,96,226,344,490,620,702,761,484,132,24,0
"2020-10-25","IC",11,17,27,53,66,96,229,348,493,629,708,768,488,134,24,0
"2020-10-26","IC",12,17,27,53,64,96,234,356,500,636,722,780,495,138,24,0
"2020-10-27","IC",12,18,27,53,63,99,233,360,509,644,724,786,506,141,24,0
"2020-10-28","IC",12,19,27,54,63,100,238,364,520,650,730,802,512,145,24,1
"2020-10-29","IC",12,20,27,54,64,99,239,364,528,658,738,813,516,149,24,1
"2020-10-30","IC",15,20,27,54,64,101,241,368,537,662,751,819,516,150,24,1
"2020-10-31","IC",13,20,27,54,64,100,241,371,539,672,762,822,520,152,24,2
"2020-11-01","IC",14,20,28,54,65,101,243,373,545,680,767,838,532,154,24,2
"2020-11-02","IC",15,21,29,55,66,101,241,377,548,691,772,851,538,159,24,2
"2020-11-03","IC",15,20,29,57,66,102,245,382,552,704,777,862,537,161,24,2
"2020-11-03","Klinisch",507,151,290,353,440,562,935,1479,1723,1944,1979,2617,2739,2466,1646,657
"2020-11-04","IC",16,21,31,57,66,103,248,387,559,710,780,871,544,163,24,3
"2020-11-04","Klinisch",523,151,290,361,445,568,940,1485,1747,1976,1997,2641,2759,2494,1676,662
"2020-11-05","IC",14,20,30,57,66,102,246,389,561,714,794,875,547,165,24,3
"2020-11-05","Klinisch",531,151,293,363,444,575,953,1494,1759,1994,2007,2687,2799,2532,1697,673
"2020-11-06","IC",13,20,31,57,68,105,248,394,564,728,793,882,556,169,24,3
"2020-11-06","Klinisch",529,151,299,366,448,573,958,1507,1776,2020,2025,2688,2822,2564,1714,678
"2020-11-07","IC",13,20,30,58,67,108,248,398,568,730,800,881,566,168,24,3
"2020-11-07","Klinisch",531,154,299,368,453,585,973,1514,1796,2022,2041,2703,2850,2582,1729,681
"2020-11-08","IC",13,22,31,59,68,107,252,400,569,735,799,894,568,171,25,3
"2020-11-08","Klinisch",534,156,301,367,458,587,974,1524,1801,2027,2056,2706,2871,2604,1738,688
"2020-11-09","IC",13,22,33,60,68,107,250,406,584,742,807,906,572,175,27,3
"2020-11-09","Klinisch",541,156,304,367,456,592,978,1534,1816,2044,2076,2732,2888,2632,1761,695
"2020-11-10","IC",13,22,33,60,69,107,252,408,587,746,813,918,576,176,25,3
"2020-11-10","Klinisch",559,156,305,373,457,600,996,1550,1855,2077,2114,2772,2939,2659,1776,711
"2020-11-11","IC",13,21,32,60,69,107,252,411,591,754,823,924,581,177,25,3
"2020-11-11","Klinisch",568,156,309,380,458,602,999,1572,1867,2089,2135,2802,2964,2692,1792,715
"2020-11-12","IC",13,21,32,61,69,109,254,414,598,759,831,930,584,178,27,3
"2020-11-12","Klinisch",569,158,310,380,464,609,1003,1575,1885,2118,2166,2832,2988,2720,1807,720
"2020-11-13","IC",12,21,32,62,69,110,253,418,601,767,833,942,589,180,26,3
"2020-11-13","Klinisch",580,161,310,378,464,615,1016,1589,1909,2137,2181,2848,3007,2747,1823,727
"2020-11-14","IC",12,21,32,62,69,109,258,419,603,772,836,945,591,181,26,3
"2020-11-14","Klinisch",581,164,313,384,468,624,1019,1606,1927,2159,2203,2876,3022,2778,1835,731
"2020-11-15","IC",12,21,32,62,69,110,259,421,609,774,839,955,594,182,26,3
"2020-11-15","Klinisch",588,166,315,386,468,624,1024,1616,1933,2171,2209,2882,3040,2793,1841,742
"2020-11-16","IC",12,21,32,64,70,111,259,424,612,777,845,961,603,186,27,3
"2020-11-16","Klinisch",587,167,318,394,476,630,1027,1624,1947,2194,2227,2898,3072,2823,1876,754
"2020-11-17","IC",12,22,32,64,70,112,261,427,617,786,849,965,606,186,27,3
"2020-11-17","Klinisch",586,169,323,399,480,635,1038,1631,1969,2214,2246,2920,3090,2860,1901,749
"2020-11-18","IC",12,22,32,64,70,111,261,428,623,792,860,969,611,189,27,3
"2020-11-18","Klinisch",594,172,325,406,486,642,1041,1637,1979,2233,2269,2945,3111,2877,1909,753
"2020-11-19","IC",12,22,32,65,70,112,263,429,622,796,866,979,615,188,27,3
"2020-11-19","Klinisch",597,174,325,405,487,644,1045,1651,1995,2259,2285,2957,3132,2910,1921,760
"2020-11-20","IC",13,22,32,65,70,112,264,433,628,798,872,988,619,190,27,4
"2020-11-20","Klinisch",605,174,327,410,491,649,1053,1671,2003,2279,2311,2976,3157,2918,1945,765
"2020-11-21","IC",13,22,32,65,70,112,266,436,630,804,876,987,628,194,30,4
"2020-11-21","Klinisch",605,175,331,414,492,649,1051,1679,2008,2287,2322,2983,3181,2931,1945,768
"2020-11-22","IC",13,22,32,65,70,113,268,436,635,806,878,991,628,196,29,4
"2020-11-22","Klinisch",612,175,330,419,498,652,1057,1683,2015,2297,2337,2997,3201,2937,1953,769
"2020-11-23","IC",13,22,32,65,71,113,268,435,637,812,883,1002,634,195,29,4
"2020-11-23","Klinisch",611,177,329,422,499,656,1066,1698,2036,2309,2358,3025,3229,2964,1960,774
"2020-11-24","IC",13,22,32,65,70,115,269,436,643,815,889,1007,637,197,29,4
"2020-11-24","Klinisch",618,178,333,422,510,664,1073,1712,2061,2326,2383,3041,3255,2995,1993,789
"2020-11-25","IC",13,22,32,66,71,115,272,437,644,826,894,1014,641,198,29,4
"2020-11-25","Klinisch",619,178,335,426,509,666,1075,1717,2073,2335,2395,3065,3262,3005,2000,796
"2020-11-26","IC",13,22,33,68,72,115,272,438,652,827,901,1025,645,200,29,4
"2020-11-26","Klinisch",629,179,334,426,513,671,1087,1723,2081,2341,2405,3076,3286,3030,2012,803
"2020-11-27","IC",13,22,33,68,72,116,273,441,656,831,908,1030,646,199,30,4
"2020-11-27","Klinisch",626,182,338,432,517,674,1095,1734,2093,2356,2421,3107,3314,3040,2038,809
"2020-11-28","IC",12,22,33,68,72,116,273,442,656,834,909,1036,647,199,30,4
"2020-11-28","Klinisch",629,183,336,431,518,673,1100,1738,2110,2370,2428,3111,3337,3054,2052,807
"2020-11-29","IC",12,22,33,68,74,116,273,445,660,836,916,1036,650,199,30,4
"2020-11-29","Klinisch",627,185,336,431,517,677,1104,1740,2116,2373,2432,3123,3346,3067,2059,815
"2020-11-30","IC",12,22,33,68,74,116,273,451,665,845,918,1039,656,201,31,4
"2020-11-30","Klinisch",639,183,336,431,518,679,1107,1754,2120,2381,2449,3141,3360,3082,2068,820
"2020-12-01","IC",12,22,34,69,75,116,273,451,666,843,920,1045,663,203,32,4
"2020-12-01","Klinisch",635,183,339,435,521,680,1119,1763,2144,2403,2460,3166,3377,3081,2088,830
"2020-12-02","IC",13,22,35,69,79,116,273,453,670,853,925,1047,662,206,31,4
"2020-12-02","Klinisch",638,184,340,436,526,682,1121,1765,2157,2401,2467,3180,3394,3093,2091,837
"2020-12-03","IC",13,22,35,69,77,116,277,454,670,849,928,1057,666,208,31,4
"2020-12-03","Klinisch",638,184,338,441,533,685,1129,1773,2172,2416,2478,3196,3413,3124,2102,841
"2020-12-04","IC",13,22,35,71,77,117,280,455,675,853,930,1063,667,208,31,4
"2020-12-04","Klinisch",648,187,342,444,535,688,1139,1785,2180,2431,2486,3226,3451,3155,2116,845
"2020-12-05","Klinisch",655,187,339,443,535,691,1140,1792,2193,2444,2505,3224,3472,3188,2141,849
"2020-12-06","IC",13,22,35,72,78,118,281,461,683,855,938,1071,673,209,31,4
"2020-12-06","Klinisch",653,189,341,445,538,691,1145,1800,2193,2456,2522,3245,3485,3200,2144,854
"2020-12-07","IC",13,22,35,72,79,119,281,461,685,863,945,1074,676,213,31,4
"2020-12-07","Klinisch",661,192,349,449,543,696,1156,1824,2213,2469,2550,3279,3504,3230,2164,867
"2020-12-08","IC",13,22,36,73,79,119,284,464,686,865,952,1082,682,215,32,4
"2020-12-08","Klinisch",663,193,349,450,550,701,1162,1840,2232,2492,2573,3303,3528,3257,2195,885
"2020-12-09","IC",13,22,36,74,78,119,284,463,691,870,956,1085,687,216,31,4
"2020-12-09","Klinisch",671,192,351,452,554,707,1165,1851,2244,2501,2586,3331,3544,3265,2215,890
"2020-12-10","IC",12,22,36,74,80,122,287,470,693,876,969,1101,691,220,31,4
"2020-12-10","Klinisch",673,192,351,453,555,707,1176,1852,2251,2516,2599,3343,3556,3284,2232,896
"2020-12-11","IC",12,22,36,74,79,124,288,470,697,878,971,1111,693,221,31,3
"2020-12-11","Klinisch",676,196,354,455,557,714,1181,1871,2271,2538,2614,3371,3597,3305,2240,898
"2020-12-12","IC",13,22,37,74,79,124,286,476,696,882,972,1114,698,223,31,4
"2020-12-12","Klinisch",678,202,360,461,567,715,1199,1887,2283,2562,2645,3412,3637,3355,2273,917
"2020-12-13","IC",13,23,38,74,79,123,287,474,699,882,977,1121,699,226,32,4
"2020-12-13","Klinisch",683,202,359,464,569,719,1197,1899,2298,2567,2660,3430,3648,3365,2279,920
"2020-12-14","IC",13,22,39,76,79,123,286,479,704,887,987,1131,703,228,34,4
"2020-12-14","Klinisch",685,206,364,468,571,728,1211,1911,2319,2587,2687,3458,3694,3399,2314,941
"2020-12-15","IC",13,22,39,76,80,124,293,486,711,896,1000,1137,706,228,34,4
"2020-12-15","Klinisch",693,207,368,472,576,736,1219,1928,2332,2616,2713,3488,3740,3450,2336,956
"2020-12-16","IC",12,22,40,76,81,125,292,488,709,906,1004,1143,716,229,34,4
"2020-12-16","Klinisch",700,208,370,478,582,736,1231,1941,2341,2627,2738,3529,3785,3492,2357,968
"2020-12-17","IC",12,22,41,77,82,125,292,488,713,911,1012,1154,721,231,34,4
"2020-12-17","Klinisch",704,209,371,481,585,737,1235,1955,2359,2639,2754,3551,3820,3503,2371,970
"2020-12-18","IC",12,22,41,78,82,126,296,491,718,918,1018,1164,723,232,35,4
"2020-12-18","Klinisch",713,210,374,490,588,749,1241,1965,2390,2669,2786,3590,3852,3532,2405,979
"2020-12-19","IC",12,22,41,78,83,126,297,497,723,922,1020,1174,729,234,35,4
"2020-12-19","Klinisch",710,209,375,489,590,752,1248,1982,2402,2683,2804,3611,3880,3556,2419,987
"2020-12-20","IC",13,22,44,79,82,126,297,499,724,931,1031,1180,733,233,35,4
"2020-12-20","Klinisch",715,212,375,495,590,757,1251,1987,2417,2694,2817,3631,3895,3572,2432,998
"2020-12-21","IC",13,23,43,79,84,129,300,507,735,940,1043,1200,743,234,35,4
"2020-12-21","Klinisch",722,213,379,503,597,763,1255,1996,2439,2708,2851,3660,3938,3623,2461,1015
"2020-12-22","IC",12,23,43,79,85,129,301,509,738,940,1047,1207,749,235,35,4
"2020-12-22","Klinisch",724,213,380,505,601,768,1272,2021,2459,2733,2867,3691,3979,3679,2494,1026
"2020-12-23","IC",12,23,43,79,85,130,303,511,751,942,1054,1207,753,235,35,4
"2020-12-23","Klinisch",735,217,380,504,605,777,1278,2045,2481,2765,2886,3735,4031,3719,2508,1028
"2020-12-24","IC",12,23,43,78,87,131,307,517,760,952,1064,1222,762,236,35,4
"2020-12-24","Klinisch",739,220,387,504,610,781,1287,2060,2509,2792,2908,3763,4077,3757,2532,1036
"2020-12-25","IC",12,23,43,78,86,131,308,520,768,958,1068,1220,769,236,36,4
"2020-12-25","Klinisch",739,220,388,507,613,786,1292,2074,2537,2819,2932,3795,4095,3765,2555,1039
"2020-12-26","IC",12,23,43,78,87,132,311,525,768,964,1072,1231,776,238,36,4
"2020-12-26","Klinisch",746,220,390,511,613,789,1305,2080,2544,2839,2949,3818,4129,3794,2573,1049
"2020-12-27","IC",12,23,44,79,87,132,311,532,775,970,1087,1238,780,240,37,4
"2020-12-27","Klinisch",743,221,392,513,616,791,1312,2089,2551,2854,2961,3843,4168,3814,2589,1059
"2020-12-28","IC",12,23,44,79,87,136,313,537,782,976,1099,1250,783,241,38,4
"2020-12-28","Klinisch",754,222,391,516,624,799,1328,2114,2583,2896,2997,3908,4243,3869,2648,1078
"2020-12-29","IC",12,23,44,79,89,136,317,538,788,988,1108,1258,793,244,38,4
"2020-12-29","Klinisch",753,224,394,524,630,814,1339,2137,2603,2927,3025,3954,4271,3927,2669,1085
"2020-12-30","IC",12,23,44,79,89,136,317,547,795,1001,1118,1282,801,243,40,4
"2020-12-30","Klinisch",758,229,396,525,635,816,1349,2147,2628,2948,3051,3976,4282,3960,2682,1100
"2020-12-31","IC",12,23,44,80,90,135,317,547,805,1011,1122,1292,806,243,39,4
"2020-12-31","Klinisch",764,230,401,531,639,821,1361,2163,2641,2965,3066,4008,4315,3986,2711,1110
"2021-01-01","IC",12,23,44,80,91,136,319,548,807,1018,1125,1301,810,244,39,4
